연도,구분,범죄유형1,범죄유형2,범죄유형3,범죄유형4,범죄유형5,범죄유형6,범죄유형7,범죄유형8,범죄유형9,범죄유형10
2014,검거건수,808,816,824,841,840,848,856,864,872,880
2014,발생건수,1152,1346,1558,973,1437,1008,1632,1107,1082,1120
2015,검거건수,890,898,906,914,922,930,938,946,954,962
2015,발생건수,1392,933,1310,1291,1474,1008,1698,1040,1226,1723
2016,검거건수,1016,1024,1032,1040,1048,1056,1064,1072,1080,1088
2016,발생건수,1226,1800,1523,1256,1082,1582,1931,1510,1701,1230
2017,검거건수,1110,1118,1126,1134,1142,1150,1158,1166,1174,1182
2017,발생건수,1795,1541,1816,1190,1472,1280,1830,1246,1750,1803
2018,검거건수,1134,1142,1150,1158,1166,1174,1182,1190,1198,1206
2018,발생건수,1394,1466,1864,1933,1598,1736,1669,1624,1928,1946
2019,검거건수,1384,1392,1400,1408,1416,1424,1432,1440,1448,1456
2019,발생건수,2040,1739,1803,1709,2024,2213,1498,1691,1472,1938
2020,검거건수,1288,1296,1304,1312,1320,1328,1536,1344,1352,1360
2020,발생건수,2086,1426,1931,1573,1990,1790,1942,1762,2136,1730
