연도,구분,범죄유형1,범죄유형2,범죄유형3,범죄유형4,범죄유형5,범죄유형6,범죄유형7,범죄유형8,범죄유형9,범죄유형10
2014,검거건수,510,520,530,540,550,560,570,580,590,600
2014,발생건수,841,979,618,913,650,920,722,711,740,909
2015,검거건수,711,721,731,741,751,761,771,781,791,801
2015,발생건수,1025,743,984,977,1096,810,1246,840,961,1277
2016,검거건수,1028,1038,1048,1058,1068,1078,1088,1098,1108,1118
2016,발생건수,1348,1169,1533,1365,1203,1099,1417,1265,1382,1506
2017,검거건수,1374,1384,1394,1404,1414,1424,1434,1444,1454,1464
2017,발생건수,1818,1839,1822,1668,1845,1459,1640,1525,1874,1514
2018,검거건수,1322,1332,1342,1352,1362,1372,1382,1392,1402,1412
2018,발생건수,1366,1494,1544,1798,1846,1642,1733,1696,1673,1868
2019,검거건수,1895,1905,1915,1925,1935,1945,1955,1965,1975,1985
2019,발생건수,2175,2315,2132,2177,2123,2325,2448,2006,2132,2000
2020,검거건수,1974,1984,1994,2004,2014,2024,2034,2044,2054,2064
2020,발생건수,2113,2483,2075,2396,2177,2443,2323,2423,2315,2554
