측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),이산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥),일산화탄소농도(ppm)
20160101,강남구,0.047,0.006,0.8,0.006,73.0,44.0,
20160101,강남대로,0.054,0.004,1.2,0.009,85.0,52.0,
20160101,강동구,0.043,0.002,0.9,0.004,77.0,45.0,
20160101,강변북로,0.046,0.004,1.1,0.006,73.0,39.0,
20160101,강북구,0.047,0.004,1.1,0.004,77.0,52.0,
20160101,강서구,0.048,0.005,0.9,0.006,66.0,38.0,
20160101,공항대로,0.038,0.004,1.0,0.005,70.0,37.0,
20160101,관악구,0.052,0.009,1.1,0.005,66.0,44.0,
20160101,광진구,0.046,0.004,0.9,0.006,85.0,64.0,
20160101,구로구,0.038,0.007,1.1,0.007,56.0,41.0,
20160101,금천구,0.043,0.01,1.0,0.005,64.0,49.0,
20160101,노원구,0.049,0.003,1.1,0.007,68.0,49.0,
20160101,도봉구,0.053,0.005,1.0,0.006,67.0,41.0,
20160101,도산대로,0.058,0.004,1.2,0.005,69.0,43.0,
20160101,동대문구,0.047,0.005,1.0,0.006,66.0,44.0,
20160101,동작구,0.049,0.009,0.8,0.005,54.0,39.0,
20160101,동작대로,0.066,0.005,1.1,0.007,88.0,50.0,
20160101,마포구,0.042,0.008,1.0,0.006,59.0,49.0,
20160101,서대문구,0.06,0.007,0.9,0.005,69.0,39.0,
20160101,서초구,0.038,0.006,0.8,0.006,76.0,42.0,
20160101,성동구,0.047,0.004,1.0,0.005,77.0,39.0,
20160101,성북구,0.056,0.005,1.3,0.007,71.0,45.0,
20160101,송파구,0.046,0.004,1.1,0.006,64.0,39.0,
20160101,신촌로,0.06,0.004,1.3,0.005,87.0,40.0,
20160101,양천구,0.049,0.008,1.1,0.005,82.0,65.0,
20160101,영등포구,0.035,0.006,1.1,0.006,80.0,40.0,
20160101,영등포로,0.062,0.003,0.8,0.008,87.0,49.0,
20160101,용산구,0.046,0.005,0.7,0.005,59.0,46.0,
20160101,은평구,0.039,0.01,0.7,0.007,58.0,35.0,
20160101,정릉로,0.035,0.006,1.1,0.008,71.0,43.0,
20160101,종로,0.059,0.004,0.8,0.005,72.0,36.0,
20160101,종로구,0.047,0.005,0.7,0.006,68.0,51.0,
20160101,중구,0.065,0.005,0.8,0.007,61.0,35.0,
20160101,중랑구,0.052,0.004,1.1,0.006,66.0,41.0,
20160101,천호대로,0.049,0.002,0.9,0.006,66.0,47.0,
20160101,청계천로,0.053,0.004,0.9,0.01,62.0,24.0,
20160101,한강대로,0.056,0.005,1.0,0.006,80.0,47.0,
20160101,홍릉로,0.053,0.003,0.9,0.007,69.0,56.0,
20160102,강남구,0.039,0.012,0.5,0.006,50.0,29.0,
20160102,강남대로,0.053,0.005,0.9,0.009,68.0,37.0,
20160102,강동구,0.046,0.002,0.8,0.004,56.0,31.0,
20160102,강변북로,0.045,0.006,0.7,0.006,54.0,26.0,
20160102,강북구,0.047,0.005,0.9,0.005,71.0,44.0,
20160102,강서구,0.036,0.01,0.5,0.006,42.0,26.0,
20160102,공항대로,0.036,0.007,0.7,0.005,56.0,27.0,
20160102,관악구,0.047,0.013,0.8,0.005,54.0,35.0,
20160102,광진구,0.043,0.007,0.6,0.005,58.0,41.0,
20160102,구로구,0.032,0.012,0.7,0.006,41.0,27.0,
20160102,금천구,0.034,0.018,0.7,0.005,52.0,36.0,
20160102,노원구,0.049,0.004,0.8,0.008,52.0,36.0,
20160102,도봉구,0.059,0.004,0.9,0.005,54.0,31.0,
20160102,도산대로,0.049,0.007,0.9,0.005,47.0,26.0,
20160102,동대문구,0.05,0.007,0.9,0.007,55.0,33.0,
20160102,동작구,0.041,0.015,0.6,0.005,48.0,34.0,
20160102,동작대로,0.065,0.008,0.8,0.006,69.0,39.0,
20160102,마포구,0.037,0.011,0.7,0.006,45.0,35.0,
20160102,서대문구,0.05,0.013,0.7,0.005,55.0,26.0,
20160102,서초구,0.03,0.013,0.5,0.006,53.0,26.0,
20160102,성동구,0.046,0.005,0.7,0.005,44.0,27.0,
20160102,성북구,0.056,0.005,1.1,0.007,54.0,29.0,
20160102,송파구,0.04,0.012,0.6,0.005,41.0,25.0,
20160102,신촌로,0.055,0.005,1.0,0.007,66.0,27.0,
20160102,양천구,0.035,0.014,0.7,0.005,59.0,40.0,
20160102,영등포구,0.032,0.009,0.9,0.006,62.0,28.0,
20160102,영등포로,0.063,0.005,0.7,0.008,64.0,32.0,
20160102,용산구,0.042,0.008,0.4,0.005,43.0,30.0,
20160102,은평구,0.037,0.016,0.6,0.007,45.0,24.0,
20160102,정릉로,0.031,0.01,0.9,0.008,57.0,30.0,
20160102,종로,0.056,0.004,0.7,0.005,59.0,30.0,
20160102,종로구,0.044,0.007,0.5,0.006,53.0,37.0,
20160102,중구,0.064,0.007,0.6,0.007,47.0,25.0,
20160102,중랑구,0.052,0.007,0.9,0.007,51.0,29.0,
20160102,천호대로,0.051,0.006,0.7,0.006,52.0,35.0,
20160102,청계천로,0.055,0.005,0.8,0.01,52.0,19.0,
20160102,한강대로,0.054,0.006,0.8,0.006,58.0,30.0,
20160102,홍릉로,0.056,0.004,0.9,0.008,57.0,44.0,
20160103,강남구,0.052,0.012,0.8,0.007,101.0,60.0,
20160103,강남대로,0.057,0.007,1.3,0.01,99.0,66.0,
20160103,강동구,0.057,0.002,1.1,0.005,97.0,56.0,
20160103,강변북로,0.054,0.006,1.2,0.008,93.0,49.0,
20160103,강북구,0.047,0.016,1.1,0.007,109.0,68.0,
20160103,강서구,0.043,0.011,0.7,0.007,,50.0,
20160103,공항대로,0.043,0.005,1.0,0.006,114.0,53.0,
20160103,관악구,0.052,0.019,0.9,0.007,96.0,60.0,
20160103,광진구,0.051,0.009,1.0,0.005,111.0,80.0,
20160103,구로구,0.037,0.017,0.9,0.008,83.0,51.0,
20160103,금천구,0.05,0.014,0.9,0.008,96.0,67.0,
20160103,노원구,0.051,0.011,1.1,0.01,87.0,60.0,
20160103,도봉구,0.052,0.02,1.0,0.007,83.0,48.0,
20160103,도산대로,0.064,0.007,1.2,0.006,88.0,52.0,
20160103,동대문구,0.05,0.013,1.1,0.008,94.0,59.0,
20160103,동작구,0.05,0.016,0.8,0.006,94.0,61.0,
20160103,동작대로,0.075,0.009,1.1,0.008,118.0,66.0,
20160103,마포구,0.04,0.017,0.8,0.007,88.0,68.0,
20160103,서대문구,0.059,0.017,0.8,0.006,109.0,53.0,
20160103,서초구,0.042,0.01,0.8,0.007,114.0,52.0,
20160103,성동구,0.053,0.008,1.1,0.005,,50.0,
20160103,성북구,0.055,0.013,1.1,0.006,80.0,50.0,
20160103,송파구,0.047,0.011,1.2,0.006,76.0,44.0,
20160103,신촌로,0.064,0.007,1.1,0.006,127.0,51.0,
20160103,양천구,0.044,0.017,0.9,0.007,116.0,80.0,
20160103,영등포구,0.033,0.012,0.9,0.006,119.0,53.0,
20160103,영등포로,0.067,0.007,0.7,0.009,126.0,67.0,
20160103,용산구,0.049,0.01,0.7,0.006,85.0,62.0,
20160103,은평구,0.04,0.017,0.8,0.007,96.0,49.0,
20160103,정릉로,0.028,0.021,0.9,0.009,93.0,52.0,
20160103,종로,0.053,0.01,0.7,0.006,103.0,55.0,
20160103,종로구,0.044,0.015,0.6,0.007,98.0,68.0,
