Year,Season,Region,Electricity,Gas
2018,Spring,서울,313,321
2018,Spring,서울,877,363
2018,Spring,서울,254,557
2018,Spring,서울,361,479
2018,Spring,서울,286,154
2018,Spring,부산,675,277
2018,Spring,부산,590,448
2018,Spring,부산,207,412
2018,Spring,부산,958,542
2018,Spring,부산,966,427
2018,Spring,광주,253,338
2018,Spring,광주,428,678
2018,Spring,광주,250,363
2018,Spring,광주,617,195
2018,Spring,광주,287,177
2018,Spring,대전,487,219
2018,Spring,대전,690,551
2018,Spring,대전,699,264
2018,Spring,대전,381,568
2018,Spring,대전,934,106
2018,Summer,서울,529,250
2018,Summer,서울,284,246
2018,Summer,서울,823,480
2018,Summer,서울,747,384
2018,Summer,서울,899,181
2018,Summer,부산,713,622
2018,Summer,부산,945,485
2018,Summer,부산,906,570
2018,Summer,부산,318,495
2018,Summer,부산,731,360
2018,Summer,광주,455,325
2018,Summer,광주,252,599
2018,Summer,광주,705,463
2018,Summer,광주,479,692
2018,Summer,광주,913,257
2018,Summer,대전,831,158
2018,Summer,대전,926,227
2018,Summer,대전,935,214
2018,Summer,대전,408,625
2018,Summer,대전,720,651
2018,Fall,서울,436,380
2018,Fall,서울,558,300
2018,Fall,서울,957,377
2018,Fall,서울,434,593
2018,Fall,서울,203,541
2018,Fall,부산,228,208
2018,Fall,부산,809,174
2018,Fall,부산,345,227
2018,Fall,부산,241,455
2018,Fall,부산,240,133
2018,Fall,광주,216,252
2018,Fall,광주,577,687
2018,Fall,광주,798,441
2018,Fall,광주,226,386
2018,Fall,광주,845,267
2018,Fall,대전,809,367
2018,Fall,대전,948,554
2018,Fall,대전,884,500
2018,Fall,대전,675,657
2018,Fall,대전,775,229
2018,Winter,서울,562,391
2018,Winter,서울,570,128
2018,Winter,서울,348,395
2018,Winter,서울,210,611
2018,Winter,서울,875,212
2018,Winter,부산,386,326
2018,Winter,부산,509,197
2018,Winter,부산,254,505
2018,Winter,부산,268,411
2018,Winter,부산,488,647
2018,Winter,광주,950,247
2018,Winter,광주,666,343
2018,Winter,광주,690,606
2018,Winter,광주,564,581
2018,Winter,광주,400,253
2018,Winter,대전,649,600
2018,Winter,대전,272,395
2018,Winter,대전,216,316
2018,Winter,대전,260,141
2018,Winter,대전,224,138
2019,Spring,서울,330,597
2019,Spring,서울,428,207
2019,Spring,서울,371,534
2019,Spring,서울,677,201
2019,Spring,서울,723,374
2019,Spring,부산,812,143
2019,Spring,부산,216,429
2019,Spring,부산,768,596
2019,Spring,부산,211,417
2019,Spring,부산,791,315
2019,Spring,광주,538,180
2019,Spring,광주,926,584
2019,Spring,광주,573,299
2019,Spring,광주,736,565
2019,Spring,광주,288,367
2019,Spring,대전,854,670
2019,Spring,대전,688,637
2019,Spring,대전,246,387
2019,Spring,대전,977,115
2019,Spring,대전,910,500
2019,Summer,서울,993,185
2019,Summer,서울,449,490
2019,Summer,서울,981,434
2019,Summer,서울,828,618
2019,Summer,서울,336,597
2019,Summer,부산,926,576
2019,Summer,부산,793,322
2019,Summer,부산,571,501
2019,Summer,부산,642,589
2019,Summer,부산,814,372
2019,Summer,광주,725,258
2019,Summer,광주,351,287
2019,Summer,광주,297,230
2019,Summer,광주,370,282
2019,Summer,광주,563,138
2019,Summer,대전,726,596
2019,Summer,대전,715,448
2019,Summer,대전,596,260
2019,Summer,대전,215,592
2019,Summer,대전,625,207
2019,Fall,서울,649,410
2019,Fall,서울,938,269
2019,Fall,서울,745,513
2019,Fall,서울,450,240
2019,Fall,서울,473,515
2019,Fall,부산,807,138
2019,Fall,부산,228,576
2019,Fall,부산,517,344
2019,Fall,부산,947,371
2019,Fall,부산,639,338
2019,Fall,광주,576,365
2019,Fall,광주,558,439
2019,Fall,광주,588,676
2019,Fall,광주,888,102
2019,Fall,광주,628,241
2019,Fall,대전,575,423
2019,Fall,대전,345,392
2019,Fall,대전,864,531
2019,Fall,대전,904,684
2019,Fall,대전,598,443
2019,Winter,서울,339,286
2019,Winter,서울,260,479
2019,Winter,서울,909,539
2019,Winter,서울,518,401
2019,Winter,서울,543,110
2019,Winter,부산,261,325
2019,Winter,부산,352,663
2019,Winter,부산,971,670
2019,Winter,부산,783,674
2019,Winter,부산,509,342
2019,Winter,광주,692,465
2019,Winter,광주,529,206
2019,Winter,광주,425,317
2019,Winter,광주,952,605
2019,Winter,광주,458,616
2019,Winter,대전,972,153
2019,Winter,대전,246,620
2019,Winter,대전,298,119
2019,Winter,대전,952,672
2019,Winter,대전,689,518
2020,Spring,서울,889,161
2020,Spring,서울,344,315
2020,Spring,서울,202,259
2020,Spring,서울,938,219
2020,Spring,서울,288,428
2020,Spring,부산,779,456
2020,Spring,부산,809,366
2020,Spring,부산,816,422
2020,Spring,부산,834,640
2020,Spring,부산,848,294
2020,Spring,광주,937,431
2020,Spring,광주,369,620
2020,Spring,광주,662,139
2020,Spring,광주,736,360
2020,Spring,광주,594,325
2020,Spring,대전,323,137
2020,Spring,대전,527,350
2020,Spring,대전,375,553
2020,Spring,대전,236,415
2020,Spring,대전,887,692
2020,Summer,서울,313,139
2020,Summer,서울,500,323
2020,Summer,서울,517,448
2020,Summer,서울,314,422
2020,Summer,서울,767,139
2020,Summer,부산,239,388
2020,Summer,부산,461,315
2020,Summer,부산,346,435
2020,Summer,부산,367,191
2020,Summer,부산,552,670
2020,Summer,광주,770,462
2020,Summer,광주,756,444
2020,Summer,광주,892,269
2020,Summer,광주,555,290
2020,Summer,광주,866,521
2020,Summer,대전,899,106
2020,Summer,대전,332,656
2020,Summer,대전,960,130
2020,Summer,대전,734,525
2020,Summer,대전,593,462
2020,Fall,서울,636,650
2020,Fall,서울,281,455
2020,Fall,서울,457,688
2020,Fall,서울,723,394
2020,Fall,서울,423,624
2020,Fall,부산,245,212
2020,Fall,부산,432,116
2020,Fall,부산,559,322
2020,Fall,부산,899,547
2020,Fall,부산,564,425
2020,Fall,광주,666,513
2020,Fall,광주,654,685
2020,Fall,광주,432,323
2020,Fall,광주,611,671
2020,Fall,광주,534,321
2020,Fall,대전,236,377
2020,Fall,대전,395,583
2020,Fall,대전,441,423
2020,Fall,대전,930,291
2020,Fall,대전,216,623
2020,Winter,서울,600,121
2020,Winter,서울,673,219
2020,Winter,서울,409,405
2020,Winter,서울,469,384
2020,Winter,서울,915,326
2020,Winter,부산,580,559
2020,Winter,부산,206,128
2020,Winter,부산,232,178
2020,Winter,부산,658,669
2020,Winter,부산,737,581
2020,Winter,광주,629,384
2020,Winter,광주,715,198
2020,Winter,광주,596,588
2020,Winter,광주,238,370
2020,Winter,광주,996,256
2020,Winter,대전,274,229
2020,Winter,대전,886,183
2020,Winter,대전,221,558
2020,Winter,대전,738,481
2020,Winter,대전,947,539
2021,Spring,서울,803,120
2021,Spring,서울,502,183
2021,Spring,서울,973,552
2021,Spring,서울,586,606
2021,Spring,서울,456,669
2021,Spring,부산,726,261
2021,Spring,부산,362,623
2021,Spring,부산,985,370
2021,Spring,부산,691,307
2021,Spring,부산,738,683
2021,Spring,광주,259,529
2021,Spring,광주,856,408
2021,Spring,광주,719,690
2021,Spring,광주,226,661
2021,Spring,광주,398,486
2021,Spring,대전,548,635
2021,Spring,대전,577,657
2021,Spring,대전,726,252
2021,Spring,대전,933,305
2021,Spring,대전,654,372
2021,Summer,서울,435,620
2021,Summer,서울,877,600
2021,Summer,서울,316,485
2021,Summer,서울,543,683
2021,Summer,서울,594,163
2021,Summer,부산,916,171
2021,Summer,부산,988,373
2021,Summer,부산,519,437
2021,Summer,부산,565,594
2021,Summer,부산,806,265
2021,Summer,광주,743,110
2021,Summer,광주,500,201
2021,Summer,광주,624,491
2021,Summer,광주,978,313
2021,Summer,광주,890,187
2021,Summer,대전,752,500
2021,Summer,대전,787,145
2021,Summer,대전,871,562
2021,Summer,대전,791,409
2021,Summer,대전,285,191
2021,Fall,서울,859,341
2021,Fall,서울,201,324
2021,Fall,서울,944,688
2021,Fall,서울,315,202
2021,Fall,서울,393,265
2021,Fall,부산,289,221
2021,Fall,부산,342,205
2021,Fall,부산,627,404
2021,Fall,부산,516,108
2021,Fall,부산,973,172
2021,Fall,광주,558,322
2021,Fall,광주,615,652
2021,Fall,광주,569,363
2021,Fall,광주,889,417
2021,Fall,광주,283,417
2021,Fall,대전,310,350
2021,Fall,대전,582,106
2021,Fall,대전,658,183
2021,Fall,대전,407,489
2021,Fall,대전,513,121
2021,Winter,서울,609,614
2021,Winter,서울,326,113
2021,Winter,서울,211,186
2021,Winter,서울,723,636
2021,Winter,서울,500,342
2021,Winter,부산,321,246
2021,Winter,부산,766,455
2021,Winter,부산,884,408
2021,Winter,부산,894,387
2021,Winter,부산,506,693
2021,Winter,광주,922,648
2021,Winter,광주,551,411
2021,Winter,광주,258,134
2021,Winter,광주,644,192
2021,Winter,광주,406,452
2021,Winter,대전,531,258
2021,Winter,대전,223,503
2021,Winter,대전,715,463
2021,Winter,대전,581,631
2021,Winter,대전,351,661
2022,Spring,서울,888,519
2022,Spring,서울,449,216
2022,Spring,서울,711,677
2022,Spring,서울,534,517
2022,Spring,서울,973,394
2022,Spring,부산,954,470
2022,Spring,부산,385,345
2022,Spring,부산,836,367
2022,Spring,부산,842,336
2022,Spring,부산,729,651
2022,Spring,광주,220,619
2022,Spring,광주,299,577
2022,Spring,광주,798,397
2022,Spring,광주,725,433
2022,Spring,광주,201,474
2022,Spring,대전,492,652
2022,Spring,대전,517,601
2022,Spring,대전,580,113
2022,Spring,대전,703,330
2022,Spring,대전,283,229
2022,Summer,서울,942,244
2022,Summer,서울,227,165
2022,Summer,서울,362,328
2022,Summer,서울,460,548
2022,Summer,서울,623,559
2022,Summer,부산,875,400
2022,Summer,부산,502,386
