start_datetime,event,value,end_datetime
2020-01-02 07:38:56,Run,94.31,2020-01-02 07:40:15
2020-01-02 09:53:39,Run,56.41,2020-01-02 09:58:53
2020-01-02 12:38:56,Alert,54.75,2020-01-02 12:45:12
2020-01-02 16:12:51,Run,26.06,2020-01-02 16:14:28
2020-01-03 04:31:13,Measure,19.73,2020-01-03 04:41:09
2020-01-04 07:53:55,Idle,85.79,2020-01-04 08:01:20
2020-01-06 20:49:55,Stop,65.27,2020-01-06 20:51:20
2020-01-07 15:24:41,Run,39.32,2020-01-07 15:33:14
2020-01-07 18:05:10,Idle,27.26,2020-01-07 18:11:32
2020-01-08 22:25:03,Run,59.99,2020-01-08 22:34:35
2020-01-10 06:32:05,Start,62.55,2020-01-10 06:33:17
2020-01-11 04:28:16,Stop,28.63,2020-01-11 04:35:26
2020-01-11 07:46:55,Start,86.63,2020-01-11 07:52:45
2020-01-13 16:59:56,Stop,17.58,2020-01-13 17:06:27
2020-01-14 05:04:12,Idle,42.05,2020-01-14 05:09:32
2020-01-14 20:18:31,Alert,71.23,2020-01-14 20:22:55
2020-01-16 06:00:21,Run,34.67,2020-01-16 06:07:47
2020-01-17 00:20:40,Run,84.49,2020-01-17 00:29:27
2020-01-17 09:54:20,Measure,76.59,2020-01-17 10:02:14
2020-01-17 22:16:43,Start,81.01,2020-01-17 22:18:51
2020-01-19 04:02:00,Run,20.72,2020-01-19 04:10:51
2020-01-19 04:42:18,Idle,22.65,2020-01-19 04:45:01
2020-01-20 11:30:32,Alert,35.78,2020-01-20 11:34:12
2020-01-21 10:21:57,Idle,56.63,2020-01-21 10:26:16
2020-01-23 23:34:41,Start,77.32,2020-01-23 23:39:16
2020-01-24 17:27:33,Measure,85.29,2020-01-24 17:32:04
2020-01-25 04:10:18,Run,73.39,2020-01-25 04:19:45
2020-01-25 10:46:08,Idle,93.57,2020-01-25 10:47:23
2020-01-27 06:29:58,Stop,76.49,2020-01-27 06:39:15
2020-01-28 02:52:16,Alert,37.56,2020-01-28 02:58:47
2020-01-28 07:55:31,Idle,33.86,2020-01-28 08:00:46
2020-01-28 08:20:54,Alert,72.66,2020-01-28 08:24:45
2020-01-28 23:20:26,Run,27.36,2020-01-28 23:29:43
2020-01-29 02:45:51,Stop,18.34,2020-01-29 02:54:41
2020-01-29 10:11:58,Measure,57.9,2020-01-29 10:19:21
2020-01-31 21:48:12,Measure,83.95,2020-01-31 21:57:38
2020-02-02 11:31:24,Stop,19.12,2020-02-02 11:41:10
2020-02-02 23:13:59,Alert,81.27,2020-02-02 23:20:23
2020-02-03 06:01:15,Run,83.04,2020-02-03 06:05:48
2020-02-03 15:21:32,Idle,53.4,2020-02-03 15:25:59
2020-02-03 17:36:51,Stop,15.16,2020-02-03 17:40:39
2020-02-05 08:10:07,Start,25.71,2020-02-05 08:16:36
2020-02-08 06:13:30,Alert,73.67,2020-02-08 06:19:09
2020-02-08 19:10:14,Measure,74.06,2020-02-08 19:16:18
2020-02-09 19:21:29,Stop,90.85,2020-02-09 19:24:54
2020-02-10 00:25:21,Measure,62.44,2020-02-10 00:34:56
2020-02-10 13:12:28,Alert,21.17,2020-02-10 13:14:57
2020-02-13 16:48:22,Measure,20.93,2020-02-13 16:56:54
2020-02-15 12:43:37,Stop,74.9,2020-02-15 12:45:36
2020-02-16 10:53:02,Alert,26.54,2020-02-16 10:59:12
2020-02-17 11:35:53,Start,39.55,2020-02-17 11:45:40
2020-02-18 09:35:26,Stop,53.85,2020-02-18 09:40:12
2020-02-18 19:45:46,Idle,12.23,2020-02-18 19:54:39
2020-02-19 15:47:27,Run,32.39,2020-02-19 15:49:45
2020-02-20 07:55:30,Stop,46.71,2020-02-20 08:03:42
2020-02-21 04:34:48,Alert,35.17,2020-02-21 04:38:20
2020-02-21 19:00:43,Run,22.27,2020-02-21 19:08:23
2020-02-23 01:41:55,Stop,75.52,2020-02-23 01:47:33
2020-02-23 16:37:02,Start,83.18,2020-02-23 16:38:58
2020-02-24 13:13:19,Start,33.17,2020-02-24 13:17:24
2020-02-25 06:46:55,Idle,79.7,2020-02-25 06:54:32
2020-02-25 07:03:41,Measure,44.7,2020-02-25 07:07:18
2020-02-27 22:20:31,Run,55.6,2020-02-27 22:27:29
2020-02-28 02:59:43,Alert,87.04,2020-02-28 03:08:02
2020-02-28 11:38:47,Alert,77.5,2020-02-28 11:47:32
2020-02-28 12:22:49,Measure,82.46,2020-02-28 12:31:14
2020-02-29 07:50:19,Start,22.32,2020-02-29 07:59:26
2020-02-29 23:25:30,Start,16.27,2020-02-29 23:35:19
2020-03-01 09:52:54,Stop,90.41,2020-03-01 09:55:06
2020-03-01 19:30:30,Idle,44.91,2020-03-01 19:31:46
2020-03-03 18:16:09,Run,35.91,2020-03-03 18:25:59
2020-03-04 04:31:41,Idle,75.22,2020-03-04 04:38:06
2020-03-04 09:54:38,Idle,85.28,2020-03-04 09:58:59
2020-03-06 17:38:07,Stop,87.62,2020-03-06 17:44:50
2020-03-07 07:13:14,Idle,38.44,2020-03-07 07:22:56
2020-03-07 13:06:33,Measure,86.7,2020-03-07 13:14:12
2020-03-07 22:09:57,Stop,13.68,2020-03-07 22:14:34
2020-03-09 03:29:34,Measure,14.47,2020-03-09 03:37:58
2020-03-09 12:06:46,Stop,66.12,2020-03-09 12:11:27
2020-03-09 22:03:52,Idle,15.68,2020-03-09 22:11:14
2020-03-10 08:15:05,Measure,39.21,2020-03-10 08:16:11
2020-03-11 01:04:25,Measure,70.55,2020-03-11 01:09:56
2020-03-11 13:37:00,Measure,40.35,2020-03-11 13:38:15
2020-03-13 05:25:27,Stop,26.16,2020-03-13 05:33:30
2020-03-13 10:17:18,Alert,35.32,2020-03-13 10:27:01
2020-03-13 17:13:47,Idle,51.18,2020-03-13 17:15:07
2020-03-13 20:43:45,Measure,52.78,2020-03-13 20:48:32
2020-03-14 13:23:41,Run,80.47,2020-03-14 13:29:28
2020-03-14 20:11:18,Alert,77.51,2020-03-14 20:14:31
2020-03-15 09:18:15,Run,51.11,2020-03-15 09:23:57
2020-03-15 11:18:43,Idle,86.11,2020-03-15 11:26:26
2020-03-16 10:59:45,Idle,20.28,2020-03-16 11:01:50
2020-03-17 01:42:11,Measure,32.98,2020-03-17 01:50:27
2020-03-18 02:34:24,Measure,84.52,2020-03-18 02:39:42
2020-03-19 22:08:42,Stop,44.02,2020-03-19 22:11:24
2020-03-21 01:54:23,Alert,98.31,2020-03-21 01:57:03
2020-03-22 11:31:19,Alert,51.96,2020-03-22 11:35:36
2020-03-24 07:45:07,Measure,81.27,2020-03-24 07:49:52
2020-03-25 07:24:28,Idle,46.21,2020-03-25 07:33:10
2020-03-27 00:59:40,Measure,48.25,2020-03-27 01:04:36
2020-03-27 02:08:16,Idle,44.46,2020-03-27 02:09:41
2020-03-28 04:55:04,Idle,74.72,2020-03-28 04:58:04
2020-03-28 21:57:33,Measure,59.28,2020-03-28 22:06:58
2020-03-30 17:25:42,Start,94.94,2020-03-30 17:29:43
2020-03-30 23:54:39,Alert,32.58,2020-03-31 00:00:53
2020-03-31 16:08:32,Run,19.05,2020-03-31 16:14:04
2020-04-02 01:47:09,Idle,45.39,2020-04-02 01:52:00
