date,time,event,value
Jan-01-2020,11:14:17,Alert,35.77
Jan-02-2020,22:13:29,Alert,78.78
Jan-03-2020,00:44:14,Stop,58.57
Jan-04-2020,06:14:51,Stop,21.61
Jan-05-2020,09:45:37,Idle,57.39
Jan-06-2020,13:55:56,Measure,45.62
Jan-07-2020,21:43:10,Stop,26.23
Jan-08-2020,19:53:23,Measure,85.74
Jan-09-2020,18:01:21,Start,10.99
Jan-10-2020,19:32:07,Alert,38.09
Jan-11-2020,13:08:33,Idle,11.13
Jan-12-2020,22:04:54,Alert,18.64
Jan-13-2020,07:15:53,Idle,36.74
Jan-16-2020,15:44:51,Start,14.88
Jan-17-2020,14:00:21,Alert,63.7
Jan-18-2020,02:37:53,Start,17.82
Jan-19-2020,13:35:17,Idle,73.15
Jan-20-2020,14:40:17,Stop,14.74
Jan-23-2020,02:09:48,Alert,15.34
Jan-24-2020,06:46:00,Start,37.48
Jan-25-2020,10:48:04,Run,90.69
Jan-26-2020,06:18:56,Alert,67.73
Jan-27-2020,23:28:14,Alert,79.31
Jan-29-2020,02:46:36,Alert,22.74
Jan-30-2020,22:11:29,Measure,85.07
Jan-31-2020,19:36:02,Start,10.73
Feb-01-2020,08:57:40,Start,29.18
Feb-02-2020,06:25:01,Alert,65.45
Feb-03-2020,22:22:58,Stop,43.77
Feb-05-2020,20:15:08,Alert,98.58
Feb-06-2020,12:27:26,Measure,12.73
Feb-07-2020,18:51:16,Idle,99.87
Feb-08-2020,05:35:00,Measure,66.13
Feb-09-2020,17:50:08,Stop,60.28
Feb-11-2020,12:39:54,Alert,15.36
Feb-12-2020,12:14:42,Start,34.6
Feb-13-2020,11:45:03,Run,93.22
Feb-14-2020,00:23:35,Alert,41.88
Feb-15-2020,18:40:09,Stop,69.55
Feb-16-2020,03:19:40,Start,99.95
Feb-17-2020,12:43:10,Measure,33.68
Feb-18-2020,11:17:29,Idle,61.85
Feb-19-2020,11:47:36,Idle,72.68
Feb-20-2020,19:24:11,Alert,24.82
Feb-21-2020,20:24:10,Measure,23.38
Feb-22-2020,08:49:24,Run,51.07
Feb-23-2020,02:51:31,Run,44.72
Feb-24-2020,16:13:00,Stop,74.28
Feb-25-2020,16:24:58,Idle,16.26
Feb-26-2020,07:04:04,Measure,97.49
Feb-27-2020,08:34:18,Alert,11.28
Feb-28-2020,22:08:53,Start,64.12
Feb-29-2020,17:15:32,Alert,60.64
Mar-01-2020,01:13:45,Alert,22.12
Mar-02-2020,00:25:57,Measure,23.58
Mar-04-2020,15:14:25,Idle,81.34
Mar-06-2020,14:43:15,Measure,89.88
Mar-07-2020,13:28:23,Start,35.47
Mar-08-2020,14:54:14,Measure,49.42
Mar-09-2020,18:07:33,Stop,41.95
Mar-10-2020,01:26:09,Alert,16.53
Mar-11-2020,02:22:48,Idle,70.59
Mar-12-2020,07:27:22,Run,84.27
Mar-13-2020,03:13:52,Start,37.44
Mar-14-2020,09:28:00,Run,99.12
Mar-15-2020,03:31:32,Alert,16.83
Mar-16-2020,16:25:16,Measure,69.56
Mar-17-2020,06:22:31,Run,50.34
Mar-18-2020,19:14:12,Stop,50.19
Mar-19-2020,01:59:18,Measure,51.19
Mar-20-2020,23:44:23,Alert,33.28
Mar-21-2020,10:58:21,Run,74.4
Mar-22-2020,14:09:40,Start,74.94
Mar-23-2020,08:51:27,Run,35.42
Mar-24-2020,00:16:30,Run,85.18
Mar-25-2020,11:09:36,Idle,38.52
Mar-26-2020,17:46:37,Run,75.26
Mar-27-2020,06:48:05,Alert,20.89
Mar-29-2020,07:11:52,Start,25.18
Mar-30-2020,13:43:54,Alert,38.42
Mar-31-2020,09:53:19,Stop,63.45
Apr-02-2020,14:30:06,Measure,68.1
Apr-03-2020,08:09:09,Run,45.67
Apr-04-2020,15:38:27,Idle,17.01
Apr-05-2020,04:54:02,Start,43.63
Apr-06-2020,17:42:14,Idle,71.99
Apr-07-2020,20:51:36,Idle,70.39
Apr-08-2020,23:11:03,Idle,24.42
Apr-09-2020,14:08:38,Run,10.7
Apr-10-2020,09:27:22,Start,77.77
Apr-11-2020,12:39:43,Start,19.57
Apr-12-2020,21:23:50,Idle,17.41
Apr-13-2020,00:15:21,Measure,10.24
Apr-14-2020,16:56:49,Run,48.93
Apr-15-2020,10:17:06,Run,55.29
Apr-16-2020,17:25:07,Alert,67.39
Apr-17-2020,05:29:38,Run,36.65
Apr-18-2020,22:31:21,Idle,73.94
Apr-19-2020,09:42:56,Stop,25.24
Apr-20-2020,12:08:30,Idle,84.88
Apr-21-2020,06:08:12,Start,61.47
Apr-22-2020,02:34:32,Run,62.55
Apr-23-2020,20:30:51,Run,28.88
Apr-24-2020,01:31:56,Alert,16.67
Apr-25-2020,02:14:55,Stop,51.83
Apr-26-2020,05:44:20,Run,65.41
Apr-27-2020,00:31:51,Alert,18.55
Apr-28-2020,18:32:27,Alert,95.55
Apr-29-2020,20:53:33,Stop,98.24
Apr-30-2020,14:13:18,Idle,59.09
May-02-2020,10:14:05,Idle,95.51
May-03-2020,19:08:36,Idle,26.15
May-04-2020,19:33:37,Measure,12.29
May-05-2020,17:27:54,Idle,13.55
May-06-2020,18:08:31,Stop,62.88
May-07-2020,20:55:58,Measure,15.55
May-09-2020,05:13:27,Idle,96.27
May-11-2020,23:12:42,Measure,22.77
May-12-2020,11:50:18,Stop,37.43
May-13-2020,20:26:57,Idle,84.03
May-15-2020,18:23:25,Start,29.69
May-16-2020,12:27:45,Run,31.87
May-17-2020,23:17:43,Stop,67.81
May-19-2020,03:41:28,Alert,34.85
May-20-2020,16:03:43,Alert,29.57
May-21-2020,12:58:28,Stop,32.88
May-22-2020,03:09:24,Alert,54.16
May-23-2020,02:46:01,Stop,96.95
May-24-2020,16:05:25,Start,84.9
May-25-2020,07:34:26,Stop,35.61
May-26-2020,17:53:00,Idle,42.7
May-27-2020,15:38:02,Idle,51.81
May-28-2020,22:03:40,Measure,98.1
May-29-2020,04:50:14,Alert,25.52
May-30-2020,07:37:49,Run,42.17
May-31-2020,18:55:46,Alert,75.65
Jun-01-2020,06:09:37,Stop,96.75
Jun-02-2020,13:48:40,Run,24.01
Jun-03-2020,18:29:04,Run,30.46
Jun-04-2020,22:30:06,Alert,30.31
Jun-05-2020,18:30:51,Run,11.88
Jun-06-2020,06:23:33,Run,64.37
Jun-07-2020,22:47:44,Idle,70.36
Jun-08-2020,07:05:37,Start,64.23
Jun-09-2020,08:35:26,Stop,16.42
Jun-11-2020,10:04:56,Alert,16.23
Jun-12-2020,16:51:06,Idle,28.93
Jun-13-2020,14:56:14,Measure,36.13
Jun-14-2020,13:12:10,Run,80.79
Jun-16-2020,12:25:21,Run,24.35
Jun-17-2020,23:28:08,Alert,13.97
Jun-18-2020,09:03:48,Start,45.46
Jun-19-2020,13:55:17,Start,47.48
Jun-20-2020,10:15:32,Alert,50.58
Jun-21-2020,06:59:09,Alert,84.42
Jun-22-2020,08:58:30,Idle,18.82
Jun-23-2020,02:53:54,Alert,73.35
Jun-24-2020,13:57:24,Measure,40.42
Jun-25-2020,14:01:23,Idle,37.9
Jun-26-2020,13:47:06,Run,93.93
Jun-27-2020,03:49:23,Run,32.36
Jun-28-2020,04:37:29,Run,67.83
Jun-29-2020,06:14:25,Run,34.76
Jun-30-2020,00:55:03,Stop,55.64
Jul-01-2020,00:42:49,Measure,80.77
Jul-02-2020,13:21:10,Idle,89.36
Jul-03-2020,09:58:16,Idle,85.48
Jul-04-2020,03:55:46,Run,62.4
Jul-05-2020,15:20:12,Start,32.39
Jul-07-2020,08:10:10,Idle,69.51
Jul-09-2020,05:00:53,Measure,73.89
Jul-10-2020,05:12:21,Alert,10.96
Jul-11-2020,23:30:21,Measure,49.53
Jul-12-2020,04:46:26,Run,85.89
Jul-13-2020,17:51:13,Run,54.06
Jul-14-2020,14:57:04,Stop,38.02
Jul-15-2020,03:31:33,Idle,88.46
Jul-16-2020,06:41:47,Idle,24.03
Jul-17-2020,09:49:16,Idle,28.58
Jul-18-2020,20:59:12,Run,71.86
Jul-21-2020,00:00:46,Idle,41.72
Jul-22-2020,00:37:24,Start,74.17
Jul-23-2020,12:58:27,Start,24.19
Jul-25-2020,00:36:40,Alert,32.7
Jul-26-2020,16:47:07,Idle,24.1
Jul-27-2020,16:46:55,Stop,95.76
Jul-28-2020,00:11:04,Alert,46.49
Jul-29-2020,23:05:24,Run,40.35
Jul-30-2020,00:24:00,Idle,11.28
Jul-31-2020,09:41:02,Start,23.81
Aug-01-2020,16:18:59,Stop,47.9
Aug-02-2020,10:28:49,Alert,16.17
Aug-03-2020,01:08:55,Stop,55.97
Aug-05-2020,16:59:45,Idle,50.95
Aug-06-2020,03:16:48,Measure,79.05
Aug-07-2020,11:59:19,Stop,69.38
Aug-08-2020,17:02:42,Stop,50.14
Aug-09-2020,17:03:16,Run,30.22
Aug-10-2020,17:36:45,Start,75.42
Aug-11-2020,09:14:32,Idle,73.71
Aug-12-2020,15:10:54,Stop,23.8
Aug-13-2020,19:37:23,Idle,92.33
Aug-14-2020,21:15:29,Start,15.8
Aug-15-2020,01:00:23,Run,14.95
Aug-16-2020,23:08:21,Idle,26.86
Aug-17-2020,11:16:24,Start,91.85
Aug-19-2020,14:29:50,Start,56.8
Aug-20-2020,21:09:57,Alert,80.91
Aug-21-2020,11:45:30,Run,30.51
Aug-22-2020,08:58:44,Run,54.12
Aug-23-2020,02:52:45,Idle,42.25
Aug-24-2020,20:09:15,Measure,84.5
Aug-25-2020,06:03:26,Alert,12.03
Aug-26-2020,19:54:24,Run,31.95
Aug-27-2020,10:47:19,Start,23.73
Aug-28-2020,03:53:53,Run,87.33
Aug-30-2020,22:16:44,Measure,52.08
Aug-31-2020,10:29:34,Stop,46.38
Sep-01-2020,08:37:21,Stop,50.45
