date,time,event,value,category1,category2,measure1,measure2
Jan-01-2020,11:14:17,Alert,35.77,B,Blue,71.5,1.12
Jan-02-2020,22:13:29,Alert,78.78,B,Blue,22.11,6.19
Jan-03-2020,00:44:14,Stop,58.57,C,Black,39.73,41.2
Jan-04-2020,06:14:51,Stop,21.61,A,Black,48.59,11.81
Jan-05-2020,09:45:37,Idle,57.39,A,Green,56.19,33.1
Jan-06-2020,13:55:56,Measure,45.62,A,Red,73.64,37.86
Jan-07-2020,21:43:10,Stop,26.23,D,Red,22.13,26.11
Jan-08-2020,19:53:23,Measure,85.74,A,Black,42.38,95.61
Jan-09-2020,18:01:21,Start,10.99,C,Blue,18.1,0.65
Jan-10-2020,19:32:07,Alert,38.09,C,Green,50.47,40.26
Jan-11-2020,13:08:33,Idle,11.13,A,Red,54.08,95.67
Jan-12-2020,22:04:54,Alert,18.64,B,Black,73.86,59.47
Jan-13-2020,07:15:53,Idle,36.74,C,Blue,51.81,5.51
Jan-16-2020,15:44:51,Start,14.88,B,Blue,65.66,11.87
Jan-17-2020,14:00:21,Alert,63.7,D,Blue,58.76,5.68
Jan-18-2020,02:37:53,Start,17.82,C,Yellow,43.47,27.59
Jan-19-2020,13:35:17,Idle,73.15,B,Blue,28.87,37.36
Jan-20-2020,14:40:17,Stop,14.74,A,Black,54.13,11.44
Jan-23-2020,02:09:48,Alert,15.34,D,Green,27.62,23.26
Jan-24-2020,06:46:00,Start,37.48,E,Black,69.43,35.22
Jan-25-2020,10:48:04,Run,90.69,E,Blue,47.57,16.41
Jan-26-2020,06:18:56,Alert,67.73,A,Green,67.93,57.73
Jan-27-2020,23:28:14,Alert,79.31,D,Red,42.8,44.29
Jan-29-2020,02:46:36,Alert,22.74,D,Red,54.03,2.01
Jan-30-2020,22:11:29,Measure,85.07,D,Black,53.14,29.12
Jan-31-2020,19:36:02,Start,10.73,D,Green,49.32,8.05
Feb-01-2020,08:57:40,Start,29.18,E,Black,43.51,24.46
Feb-02-2020,06:25:01,Alert,65.45,B,Green,55.89,94.32
Feb-03-2020,22:22:58,Stop,43.77,D,Green,36.11,63.37
Feb-05-2020,20:15:08,Alert,98.58,B,Black,31.86,15.55
Feb-06-2020,12:27:26,Measure,12.73,D,Green,68.64,10.34
Feb-07-2020,18:51:16,Idle,99.87,C,Blue,60.91,8.01
Feb-08-2020,05:35:00,Measure,66.13,C,Green,50.99,22.81
Feb-09-2020,17:50:08,Stop,60.28,C,Green,74.98,3.64
Feb-11-2020,12:39:54,Alert,15.36,D,Black,45.98,23.91
Feb-12-2020,12:14:42,Start,34.6,B,Red,69.84,0.04
Feb-13-2020,11:45:03,Run,93.22,E,Yellow,52.63,11.74
Feb-14-2020,00:23:35,Alert,41.88,A,Green,34.63,7.45
Feb-15-2020,18:40:09,Stop,69.55,E,Yellow,77.72,106.44
Feb-16-2020,03:19:40,Start,99.95,D,Green,64.86,38.98
Feb-17-2020,12:43:10,Measure,33.68,C,Black,48.18,12.91
Feb-18-2020,11:17:29,Idle,61.85,C,Black,60.91,2.92
Feb-19-2020,11:47:36,Idle,72.68,B,Green,43.94,21.82
Feb-20-2020,19:24:11,Alert,24.82,D,Black,62.44,7.2
Feb-21-2020,20:24:10,Measure,23.38,E,Black,14.13,23.06
Feb-22-2020,08:49:24,Run,51.07,D,Green,34.7,54.12
Feb-23-2020,02:51:31,Run,44.72,D,Red,64.69,28.7
Feb-24-2020,16:13:00,Stop,74.28,C,Green,46.26,30.14
Feb-25-2020,16:24:58,Idle,16.26,E,Red,53.11,23.36
Feb-26-2020,07:04:04,Measure,97.49,A,Black,29.8,78.63
Feb-27-2020,08:34:18,Alert,11.28,C,Red,77.72,80.6
Feb-28-2020,22:08:53,Start,64.12,E,Black,67.86,21.57
Feb-29-2020,17:15:32,Alert,60.64,B,Red,46.99,10.95
Mar-01-2020,01:13:45,Alert,22.12,C,Red,43.93,18.46
Mar-02-2020,00:25:57,Measure,23.58,B,Green,65.44,6.19
Mar-04-2020,15:14:25,Idle,81.34,C,Red,79.74,30.35
Mar-06-2020,14:43:15,Measure,89.88,D,Black,64.31,20.8
Mar-07-2020,13:28:23,Start,35.47,E,Green,82.58,3.27
Mar-08-2020,14:54:14,Measure,49.42,B,Red,36.16,6.61
Mar-09-2020,18:07:33,Stop,41.95,C,Green,37.71,19.6
Mar-10-2020,01:26:09,Alert,16.53,B,Yellow,32.17,65.57
Mar-11-2020,02:22:48,Idle,70.59,C,Green,56.63,25.07
Mar-12-2020,07:27:22,Run,84.27,C,Yellow,52.63,34.33
Mar-13-2020,03:13:52,Start,37.44,A,Yellow,47.72,12.42
Mar-14-2020,09:28:00,Run,99.12,A,Green,62.14,25.42
Mar-15-2020,03:31:32,Alert,16.83,A,Black,68.48,17.79
Mar-16-2020,16:25:16,Measure,69.56,B,Black,27.12,32.29
Mar-17-2020,06:22:31,Run,50.34,D,Black,41.05,1.56
Mar-18-2020,19:14:12,Stop,50.19,C,Blue,62.3,20.4
Mar-19-2020,01:59:18,Measure,51.19,E,Yellow,42.98,10.53
Mar-20-2020,23:44:23,Alert,33.28,A,Green,38.03,11.84
Mar-21-2020,10:58:21,Run,74.4,B,Black,65.28,97.26
Mar-22-2020,14:09:40,Start,74.94,B,Black,30.66,6.05
Mar-23-2020,08:51:27,Run,35.42,B,Green,45.48,11.19
Mar-24-2020,00:16:30,Run,85.18,E,Yellow,54.93,21.39
Mar-25-2020,11:09:36,Idle,38.52,E,Green,41.39,59.64
Mar-26-2020,17:46:37,Run,75.26,A,Blue,61.75,16.17
Mar-27-2020,06:48:05,Alert,20.89,E,Blue,41.47,40.86
Mar-29-2020,07:11:52,Start,25.18,A,Green,71.13,58.22
Mar-30-2020,13:43:54,Alert,38.42,E,Yellow,48.11,11.13
Mar-31-2020,09:53:19,Stop,63.45,E,Black,60.07,14.96
Apr-02-2020,14:30:06,Measure,68.1,E,Blue,61.19,13.23
Apr-03-2020,08:09:09,Run,45.67,A,Blue,40.59,53.67
Apr-04-2020,15:38:27,Idle,17.01,C,Yellow,19.2,1.36
Apr-05-2020,04:54:02,Start,43.63,A,Blue,55.41,11.06
Apr-06-2020,17:42:14,Idle,71.99,C,Blue,51.08,34.13
Apr-07-2020,20:51:36,Idle,70.39,B,Yellow,58.34,25.0
Apr-08-2020,23:11:03,Idle,24.42,B,Green,46.6,17.2
Apr-09-2020,14:08:38,Run,10.7,A,Black,43.54,23.29
Apr-10-2020,09:27:22,Start,77.77,C,Black,80.13,6.6
Apr-11-2020,12:39:43,Start,19.57,C,Blue,27.91,16.9
Apr-12-2020,21:23:50,Idle,17.41,C,Black,61.01,20.9
Apr-13-2020,00:15:21,Measure,10.24,B,Green,41.38,69.44
Apr-14-2020,16:56:49,Run,48.93,A,Blue,44.96,9.07
Apr-15-2020,10:17:06,Run,55.29,D,Black,45.24,60.71
Apr-16-2020,17:25:07,Alert,67.39,C,Red,37.95,31.01
Apr-17-2020,05:29:38,Run,36.65,C,Red,58.57,0.62
Apr-18-2020,22:31:21,Idle,73.94,D,Red,70.86,38.69
Apr-19-2020,09:42:56,Stop,25.24,A,Red,57.05,1.09
Apr-20-2020,12:08:30,Idle,84.88,C,Red,51.55,178.35
Apr-21-2020,06:08:12,Start,61.47,A,Blue,35.2,61.82
Apr-22-2020,02:34:32,Run,62.55,C,Yellow,57.75,10.59
Apr-23-2020,20:30:51,Run,28.88,E,Yellow,82.35,8.93
Apr-24-2020,01:31:56,Alert,16.67,C,Blue,44.29,14.41
Apr-25-2020,02:14:55,Stop,51.83,E,Blue,44.36,13.21
Apr-26-2020,05:44:20,Run,65.41,A,Green,41.58,13.97
Apr-27-2020,00:31:51,Alert,18.55,C,Yellow,42.66,11.49
Apr-28-2020,18:32:27,Alert,95.55,B,Red,8.82,29.12
Apr-29-2020,20:53:33,Stop,98.24,B,Blue,56.08,5.38
Apr-30-2020,14:13:18,Idle,59.09,D,Red,37.32,56.12
May-02-2020,10:14:05,Idle,95.51,B,Yellow,25.85,50.2
May-03-2020,19:08:36,Idle,26.15,E,Black,61.3,19.42
May-04-2020,19:33:37,Measure,12.29,B,Black,33.77,57.46
May-05-2020,17:27:54,Idle,13.55,B,Blue,44.92,8.52
May-06-2020,18:08:31,Stop,62.88,B,Green,72.0,0.53
May-07-2020,20:55:58,Measure,15.55,C,Red,28.86,28.97
May-09-2020,05:13:27,Idle,96.27,D,Blue,27.01,18.37
May-11-2020,23:12:42,Measure,22.77,A,Green,54.04,25.12
May-12-2020,11:50:18,Stop,37.43,D,Red,67.24,68.88
May-13-2020,20:26:57,Idle,84.03,E,Yellow,26.38,105.12
May-15-2020,18:23:25,Start,29.69,C,Black,56.12,30.19
May-16-2020,12:27:45,Run,31.87,C,Green,58.71,43.32
May-17-2020,23:17:43,Stop,67.81,B,Red,19.11,2.63
May-19-2020,03:41:28,Alert,34.85,B,Blue,61.98,5.26
May-20-2020,16:03:43,Alert,29.57,E,Red,63.15,39.64
May-21-2020,12:58:28,Stop,32.88,C,Blue,45.32,16.94
May-22-2020,03:09:24,Alert,54.16,A,Black,68.79,17.72
May-23-2020,02:46:01,Stop,96.95,D,Black,67.05,11.07
May-24-2020,16:05:25,Start,84.9,C,Red,51.55,28.05
May-25-2020,07:34:26,Stop,35.61,A,Red,43.23,6.14
May-26-2020,17:53:00,Idle,42.7,A,Blue,35.41,29.58
May-27-2020,15:38:02,Idle,51.81,D,Blue,49.44,5.73
May-28-2020,22:03:40,Measure,98.1,A,Green,58.55,1.98
May-29-2020,04:50:14,Alert,25.52,E,Green,45.14,12.03
May-30-2020,07:37:49,Run,42.17,A,Green,17.04,7.89
May-31-2020,18:55:46,Alert,75.65,E,Red,69.03,65.94
Jun-01-2020,06:09:37,Stop,96.75,A,Green,52.85,1.7
Jun-02-2020,13:48:40,Run,24.01,B,Red,44.31,5.83
Jun-03-2020,18:29:04,Run,30.46,A,Black,62.86,23.87
Jun-04-2020,22:30:06,Alert,30.31,E,Yellow,72.87,19.68
Jun-05-2020,18:30:51,Run,11.88,A,Black,7.97,1.41
Jun-06-2020,06:23:33,Run,64.37,A,Red,56.51,0.22
Jun-07-2020,22:47:44,Idle,70.36,A,Red,28.6,132.86
Jun-08-2020,07:05:37,Start,64.23,E,Yellow,57.49,32.26
Jun-09-2020,08:35:26,Stop,16.42,A,Blue,51.92,13.64
Jun-11-2020,10:04:56,Alert,16.23,D,Blue,59.54,19.07
Jun-12-2020,16:51:06,Idle,28.93,D,Blue,42.51,9.3
Jun-13-2020,14:56:14,Measure,36.13,E,Green,21.9,12.69
Jun-14-2020,13:12:10,Run,80.79,B,Blue,43.24,31.41
Jun-16-2020,12:25:21,Run,24.35,D,Green,56.1,64.32
Jun-17-2020,23:28:08,Alert,13.97,C,Green,65.23,6.11
Jun-18-2020,09:03:48,Start,45.46,D,Blue,32.42,55.05
Jun-19-2020,13:55:17,Start,47.48,C,Blue,65.41,3.89
Jun-20-2020,10:15:32,Alert,50.58,E,Yellow,40.28,7.26
Jun-21-2020,06:59:09,Alert,84.42,B,Yellow,55.44,1.14
Jun-22-2020,08:58:30,Idle,18.82,C,Green,42.35,4.55
Jun-23-2020,02:53:54,Alert,73.35,C,Yellow,52.73,74.78
Jun-24-2020,13:57:24,Measure,40.42,D,Green,63.38,18.45
Jun-25-2020,14:01:23,Idle,37.9,C,Red,31.59,2.43
Jun-26-2020,13:47:06,Run,93.93,E,Green,39.8,96.36
Jun-27-2020,03:49:23,Run,32.36,E,Green,52.77,63.36
Jun-28-2020,04:37:29,Run,67.83,E,Yellow,86.02,42.16
Jun-29-2020,06:14:25,Run,34.76,D,Red,37.05,81.3
Jun-30-2020,00:55:03,Stop,55.64,B,Black,80.6,7.46
Jul-01-2020,00:42:49,Measure,80.77,D,Black,80.07,54.3
Jul-02-2020,13:21:10,Idle,89.36,E,Black,48.54,35.13
Jul-03-2020,09:58:16,Idle,85.48,D,Red,45.53,61.15
Jul-04-2020,03:55:46,Run,62.4,E,Blue,39.62,47.82
Jul-05-2020,15:20:12,Start,32.39,A,Red,48.98,12.76
Jul-07-2020,08:10:10,Idle,69.51,A,Yellow,28.9,44.67
Jul-09-2020,05:00:53,Measure,73.89,C,Green,48.86,9.13
Jul-10-2020,05:12:21,Alert,10.96,B,Green,72.45,11.95
Jul-11-2020,23:30:21,Measure,49.53,A,Yellow,40.83,3.43
Jul-12-2020,04:46:26,Run,85.89,E,Yellow,46.39,82.04
Jul-13-2020,17:51:13,Run,54.06,D,Green,24.48,10.32
Jul-14-2020,14:57:04,Stop,38.02,D,Blue,55.61,22.06
Jul-15-2020,03:31:33,Idle,88.46,C,Blue,53.97,14.89
Jul-16-2020,06:41:47,Idle,24.03,D,Blue,50.96,96.51
Jul-17-2020,09:49:16,Idle,28.58,A,Yellow,46.75,12.24
Jul-18-2020,20:59:12,Run,71.86,D,Green,45.61,45.23
Jul-21-2020,00:00:46,Idle,41.72,A,Green,57.53,58.02
Jul-22-2020,00:37:24,Start,74.17,A,Green,49.57,17.16
Jul-23-2020,12:58:27,Start,24.19,B,Red,54.72,14.25
Jul-25-2020,00:36:40,Alert,32.7,C,Red,53.22,41.32
Jul-26-2020,16:47:07,Idle,24.1,E,Black,66.85,73.22
Jul-27-2020,16:46:55,Stop,95.76,A,Red,60.15,42.19
Jul-28-2020,00:11:04,Alert,46.49,C,Blue,52.89,7.73
Jul-29-2020,23:05:24,Run,40.35,E,Blue,72.78,65.76
Jul-30-2020,00:24:00,Idle,11.28,D,Blue,56.3,14.71
Jul-31-2020,09:41:02,Start,23.81,C,Blue,69.57,25.76
Aug-01-2020,16:18:59,Stop,47.9,C,Black,59.1,53.41
Aug-02-2020,10:28:49,Alert,16.17,C,Blue,22.37,6.26
Aug-03-2020,01:08:55,Stop,55.97,D,Yellow,69.57,46.05
Aug-05-2020,16:59:45,Idle,50.95,D,Yellow,52.03,27.2
Aug-06-2020,03:16:48,Measure,79.05,C,Yellow,49.22,67.14
Aug-07-2020,11:59:19,Stop,69.38,B,Red,54.22,5.66
Aug-08-2020,17:02:42,Stop,50.14,A,Green,44.83,16.38
Aug-09-2020,17:03:16,Run,30.22,D,Black,53.41,53.66
Aug-10-2020,17:36:45,Start,75.42,B,Yellow,41.12,0.58
Aug-11-2020,09:14:32,Idle,73.71,D,Yellow,69.11,3.57
Aug-12-2020,15:10:54,Stop,23.8,C,Blue,48.3,139.9
Aug-13-2020,19:37:23,Idle,92.33,B,Yellow,44.26,9.87
Aug-14-2020,21:15:29,Start,15.8,E,Blue,36.13,111.33
Aug-15-2020,01:00:23,Run,14.95,A,Blue,54.03,6.05
Aug-16-2020,23:08:21,Idle,26.86,A,Green,52.81,13.44
Aug-17-2020,11:16:24,Start,91.85,D,Red,55.83,41.94
Aug-19-2020,14:29:50,Start,56.8,A,Blue,34.59,32.17
Aug-20-2020,21:09:57,Alert,80.91,E,Blue,25.98,26.11
Aug-21-2020,11:45:30,Run,30.51,B,Green,59.38,22.64
Aug-22-2020,08:58:44,Run,54.12,B,Blue,72.27,55.63
Aug-23-2020,02:52:45,Idle,42.25,C,Black,34.6,8.03
Aug-24-2020,20:09:15,Measure,84.5,B,Red,73.84,17.53
Aug-25-2020,06:03:26,Alert,12.03,D,Black,54.26,5.07
Aug-26-2020,19:54:24,Run,31.95,E,Yellow,49.89,27.19
Aug-27-2020,10:47:19,Start,23.73,C,Red,44.04,8.65
Aug-28-2020,03:53:53,Run,87.33,D,Yellow,29.23,12.19
Aug-30-2020,22:16:44,Measure,52.08,D,Blue,64.82,19.12
Aug-31-2020,10:29:34,Stop,46.38,D,Green,38.37,0.81
Sep-01-2020,08:37:21,Stop,50.45,A,Black,38.3,2.89
Sep-02-2020,20:42:47,Run,97.47,D,Yellow,64.88,34.74
Sep-03-2020,18:26:36,Run,86.52,A,Blue,21.76,16.81
Sep-04-2020,13:48:34,Alert,73.57,B,Black,27.15,60.03
Sep-05-2020,03:15:15,Run,36.14,A,Black,49.73,35.59
Sep-06-2020,20:25:56,Measure,24.87,D,Yellow,54.4,0.24
Sep-07-2020,03:18:57,Run,92.93,E,Blue,57.27,28.77
Sep-08-2020,16:44:25,Idle,48.08,E,Green,45.47,2.95
Sep-10-2020,21:54:57,Measure,35.09,B,Yellow,87.96,45.55
Sep-11-2020,23:27:00,Alert,52.38,D,Black,46.58,143.06
Sep-12-2020,11:35:42,Idle,92.61,A,Black,46.54,22.73
Sep-13-2020,04:01:16,Idle,44.84,E,Red,38.05,34.44
Sep-14-2020,07:37:20,Stop,60.64,C,Blue,51.86,8.13
Sep-15-2020,08:12:10,Measure,82.27,D,Red,59.22,17.27
Sep-16-2020,15:15:58,Idle,48.44,D,Green,68.05,58.16
Sep-17-2020,01:41:43,Alert,31.02,C,Yellow,27.66,5.5
Sep-18-2020,07:42:41,Stop,99.51,E,Black,46.31,9.26
Sep-19-2020,12:56:16,Idle,96.09,C,Blue,56.7,17.69
Sep-20-2020,06:23:02,Measure,85.91,B,Black,58.81,37.37
Sep-21-2020,19:12:18,Stop,71.95,A,Red,50.1,14.14
Sep-22-2020,06:08:18,Measure,36.54,A,Red,58.14,78.82
Sep-23-2020,12:53:39,Measure,92.21,E,Yellow,37.87,2.98
Sep-24-2020,21:17:22,Measure,34.8,C,Blue,73.37,13.9
Sep-25-2020,01:49:49,Stop,82.07,D,Blue,64.89,37.03
Sep-27-2020,10:30:32,Idle,92.64,D,Yellow,29.83,7.68
Sep-28-2020,13:15:10,Run,64.27,D,Red,33.87,32.05
Sep-29-2020,00:06:30,Start,82.28,B,Red,34.3,5.38
Sep-30-2020,15:45:46,Idle,81.25,B,Red,60.17,1.73
Oct-01-2020,13:27:52,Stop,27.38,D,Black,30.73,3.87
Oct-02-2020,10:15:18,Start,70.11,E,Green,45.03,79.77
Oct-04-2020,16:58:25,Start,18.41,B,Red,56.82,24.07
Oct-05-2020,05:42:48,Start,55.71,B,Green,49.01,47.74
Oct-06-2020,08:49:16,Run,24.6,A,Green,53.88,12.13
Oct-07-2020,11:22:53,Alert,47.47,A,Blue,34.01,26.94
Oct-08-2020,21:04:42,Stop,84.97,E,Yellow,58.92,20.49
Oct-09-2020,03:58:35,Run,98.85,B,Black,40.8,87.42
Oct-10-2020,02:57:23,Run,38.62,B,Green,45.13,41.3
Oct-11-2020,22:56:16,Alert,57.88,C,Black,53.57,39.34
Oct-12-2020,06:25:03,Start,56.02,E,Blue,51.55,1.42
Oct-13-2020,22:44:11,Alert,95.9,E,Red,50.36,23.93
Oct-14-2020,00:20:18,Alert,53.07,C,Green,38.74,18.88
Oct-16-2020,20:51:17,Run,72.92,C,Yellow,45.51,78.87
Oct-17-2020,10:51:02,Stop,92.96,A,Blue,50.03,8.93
Oct-18-2020,16:43:31,Measure,43.6,E,Black,29.37,9.43
Oct-19-2020,09:39:14,Alert,91.19,E,Red,43.06,15.9
Oct-20-2020,04:03:57,Alert,92.57,C,Black,55.82,8.37
Oct-21-2020,20:51:50,Start,93.76,D,Yellow,30.84,4.15
Oct-23-2020,20:03:14,Start,34.34,D,Green,67.35,58.43
Oct-24-2020,16:43:02,Run,46.03,A,Yellow,69.04,24.51
Oct-25-2020,09:46:41,Start,88.34,D,Black,31.32,59.28
Oct-26-2020,23:22:17,Idle,42.32,D,Black,70.36,53.36
Oct-27-2020,00:34:52,Alert,64.02,D,Yellow,47.85,9.94
Oct-28-2020,11:00:02,Start,20.62,B,Yellow,56.28,23.8
Oct-29-2020,02:36:18,Stop,15.06,A,Yellow,42.55,2.61
Oct-30-2020,00:35:28,Idle,47.08,C,Red,63.85,74.04
Oct-31-2020,03:48:13,Run,62.1,D,Black,56.09,15.54
Nov-01-2020,17:26:32,Measure,45.34,B,Blue,37.79,15.01
Nov-02-2020,21:47:02,Alert,62.0,D,Red,32.52,10.82
Nov-03-2020,22:20:40,Alert,56.36,B,Red,28.1,18.52
Nov-04-2020,22:03:20,Stop,71.71,A,Red,52.82,8.7
Nov-05-2020,04:42:30,Measure,68.46,D,Blue,58.59,14.09
Nov-06-2020,20:25:40,Measure,48.18,B,Yellow,59.76,48.28
Nov-07-2020,02:37:23,Run,48.25,E,Black,48.23,53.92
Nov-08-2020,10:40:28,Run,22.67,E,Green,32.65,10.88
