start_datetime,end_datetime,event,value
2024-04-01 08:00:00,2024-04-01 08:08:39,Idle,62.53
2024-04-01 08:38:00,2024-04-01 08:44:55,Alert,17.0
2024-04-01 09:02:00,2024-04-01 09:08:23,Run,97.7
2024-04-01 09:21:00,2024-04-01 09:24:12,Measure,98.76
2024-04-01 08:56:00,2024-04-01 08:59:06,Alert,72.83
2024-04-01 09:10:00,2024-04-01 09:12:45,Idle,58.25
2024-04-01 09:06:00,2024-04-01 09:13:17,Stop,37.86
2024-04-01 12:05:00,2024-04-01 12:06:50,Alert,83.24
2024-04-01 11:44:00,2024-04-01 11:45:28,Stop,71.63
2024-04-01 12:39:00,2024-04-01 12:47:41,Run,24.64
2024-04-01 09:40:00,2024-04-01 09:45:55,Measure,91.98
2024-04-01 15:09:00,2024-04-01 15:14:56,Start,84.03
2024-04-01 14:48:00,2024-04-01 14:55:46,Measure,95.48
2024-04-01 11:28:00,2024-04-01 11:35:44,Alert,75.31
2024-04-01 11:30:00,2024-04-01 11:36:45,Stop,65.21
2024-04-01 11:45:00,2024-04-01 11:52:59,Stop,47.64
2024-04-01 13:04:00,2024-04-01 13:08:01,Idle,93.95
2024-04-01 15:05:00,2024-04-01 15:06:00,Stop,87.95
2024-04-01 14:36:00,2024-04-01 14:43:10,Idle,14.07
2024-04-01 13:42:00,2024-04-01 13:50:10,Run,12.37
2024-04-01 17:20:00,2024-04-01 17:26:08,Start,43.88
2024-04-01 12:54:00,2024-04-01 12:57:16,Alert,82.95
2024-04-01 14:36:00,2024-04-01 14:40:21,Idle,98.85
2024-04-01 15:40:00,2024-04-01 15:48:15,Start,23.54
2024-04-01 17:12:00,2024-04-01 17:18:12,Stop,63.47
2024-04-01 21:45:00,2024-04-01 21:47:56,Stop,44.28
2024-04-01 14:30:00,2024-04-01 14:35:03,Start,97.29
2024-04-01 19:15:00,2024-04-01 19:24:56,Stop,85.79
2024-04-01 20:36:00,2024-04-01 20:38:14,Run,85.45
2024-04-01 13:19:00,2024-04-01 13:26:25,Run,52.18
2024-04-01 22:00:00,2024-04-01 22:04:29,Start,47.33
2024-04-01 15:45:00,2024-04-01 15:53:54,Idle,34.61
2024-04-01 13:52:00,2024-04-01 13:59:57,Idle,15.07
2024-04-02 04:54:00,2024-04-02 05:00:46,Start,87.83
2024-04-02 05:32:00,2024-04-02 05:41:48,Idle,83.16
2024-04-02 03:50:00,2024-04-02 03:53:58,Idle,99.97
2024-04-01 19:24:00,2024-04-01 19:28:01,Run,99.7
2024-04-01 15:24:00,2024-04-01 15:25:24,Idle,59.99
2024-04-02 03:00:00,2024-04-02 03:03:59,Measure,79.21
2024-04-01 22:57:00,2024-04-01 23:06:20,Alert,95.03
2024-04-01 16:40:00,2024-04-01 16:43:40,Stop,86.47
2024-04-02 00:24:00,2024-04-02 00:27:56,Measure,32.26
2024-04-01 15:42:00,2024-04-01 15:47:44,Idle,50.55
2024-04-02 10:31:00,2024-04-02 10:33:02,Run,21.62
2024-04-01 20:28:00,2024-04-01 20:31:35,Start,95.86
2024-04-02 05:45:00,2024-04-02 05:53:48,Idle,64.56
2024-04-01 22:34:00,2024-04-01 22:35:48,Run,30.58
2024-04-02 03:35:00,2024-04-02 03:37:23,Alert,70.45
2024-04-02 04:48:00,2024-04-02 04:55:00,Idle,65.63
2024-04-01 20:15:00,2024-04-01 20:18:27,Start,42.23
2024-04-02 16:30:00,2024-04-02 16:36:41,Run,20.22
2024-04-02 12:03:00,2024-04-02 12:11:55,Run,70.44
2024-04-02 16:56:00,2024-04-02 16:58:02,Run,56.83
2024-04-02 15:48:00,2024-04-02 15:54:59,Alert,79.51
2024-04-02 08:18:00,2024-04-02 08:24:26,Idle,56.81
2024-04-02 17:55:00,2024-04-02 17:58:20,Alert,86.7
2024-04-01 19:12:00,2024-04-01 19:16:34,Stop,59.67
2024-04-01 22:15:00,2024-04-01 22:23:14,Stop,60.48
2024-04-01 18:38:00,2024-04-01 18:44:17,Idle,88.9
2024-04-02 02:41:00,2024-04-02 02:42:31,Alert,46.31
2024-04-02 05:00:00,2024-04-02 05:05:44,Start,22.06
2024-04-02 02:18:00,2024-04-02 02:24:04,Run,12.59
2024-04-02 19:08:00,2024-04-02 19:16:08,Run,77.96
2024-04-02 05:00:00,2024-04-02 05:08:56,Idle,65.83
2024-04-02 03:12:00,2024-04-02 03:17:45,Stop,73.37
2024-04-02 12:10:00,2024-04-02 12:13:23,Stop,29.17
2024-04-01 23:24:00,2024-04-01 23:32:03,Run,22.27
2024-04-02 21:58:00,2024-04-02 21:59:18,Idle,11.31
2024-04-01 21:36:00,2024-04-01 21:37:17,Alert,41.55
2024-04-03 04:51:00,2024-04-03 04:58:10,Stop,63.09
2024-04-02 22:30:00,2024-04-02 22:33:54,Alert,45.3
2024-04-02 01:45:00,2024-04-02 01:49:13,Stop,49.37
2024-04-01 20:00:00,2024-04-01 20:09:21,Stop,91.37
2024-04-03 01:22:00,2024-04-03 01:24:52,Measure,41.34
2024-04-02 22:14:00,2024-04-02 22:16:53,Stop,56.26
2024-04-02 22:45:00,2024-04-02 22:49:41,Start,80.53
2024-04-03 01:48:00,2024-04-03 01:53:23,Idle,45.69
2024-04-01 23:24:00,2024-04-01 23:25:54,Idle,65.99
2024-04-02 10:00:00,2024-04-02 10:08:37,Alert,87.61
2024-04-02 01:07:00,2024-04-02 01:10:41,Stop,95.46
2024-04-03 06:40:00,2024-04-03 06:47:19,Start,23.24
2024-04-02 21:48:00,2024-04-02 21:50:26,Alert,93.39
2024-04-02 09:58:00,2024-04-02 09:59:54,Measure,54.29
2024-04-01 23:13:00,2024-04-01 23:21:55,Alert,33.24
2024-04-02 10:36:00,2024-04-02 10:39:57,Alert,51.32
2024-04-02 10:55:00,2024-04-02 11:02:30,Stop,98.2
2024-04-03 04:26:00,2024-04-03 04:32:48,Measure,54.34
2024-04-03 02:03:00,2024-04-03 02:04:07,Alert,39.59
2024-04-03 12:48:00,2024-04-03 12:54:12,Start,67.01
2024-04-02 19:36:00,2024-04-02 19:44:22,Start,31.61
2024-04-02 03:30:00,2024-04-02 03:36:27,Idle,16.83
2024-04-03 07:01:00,2024-04-03 07:02:53,Measure,21.6
2024-04-03 09:04:00,2024-04-03 09:08:58,Measure,21.52
2024-04-03 00:18:00,2024-04-03 00:22:48,Idle,23.67
2024-04-03 11:42:00,2024-04-03 11:43:50,Alert,22.49
2024-04-02 22:00:00,2024-04-02 22:05:23,Measure,67.68
2024-04-03 00:00:00,2024-04-03 00:07:57,Start,26.37
2024-04-02 19:34:00,2024-04-02 19:36:35,Start,41.11
2024-04-02 00:20:00,2024-04-02 00:22:27,Stop,90.71
2024-04-02 05:27:00,2024-04-02 05:29:17,Measure,52.66
2024-04-02 00:40:00,2024-04-02 00:45:47,Alert,70.08
2024-04-03 08:49:00,2024-04-03 08:51:59,Idle,25.51
2024-04-02 16:18:00,2024-04-02 16:27:10,Idle,27.31
2024-04-03 02:55:00,2024-04-03 03:03:31,Alert,13.68
2024-04-04 00:08:00,2024-04-04 00:17:19,Run,25.2
2024-04-02 13:45:00,2024-04-02 13:48:44,Stop,35.07
2024-04-02 22:52:00,2024-04-02 22:56:01,Idle,25.93
2024-04-03 17:04:00,2024-04-03 17:12:48,Measure,17.98
2024-04-02 12:48:00,2024-04-02 12:49:06,Stop,20.86
2024-04-02 05:48:00,2024-04-02 05:54:29,Measure,51.47
2024-04-02 17:00:00,2024-04-02 17:03:30,Start,28.57
2024-04-02 09:54:00,2024-04-02 09:56:24,Stop,42.78
2024-04-04 05:04:00,2024-04-04 05:07:26,Idle,55.31
2024-04-04 00:02:00,2024-04-04 00:09:20,Stop,72.14
2024-04-03 15:06:00,2024-04-03 15:11:44,Stop,13.54
2024-04-04 05:00:00,2024-04-04 05:02:21,Stop,81.95
2024-04-04 01:44:00,2024-04-04 01:53:33,Run,66.51
2024-04-02 13:15:00,2024-04-02 13:24:42,Stop,17.36
2024-04-04 06:48:00,2024-04-04 06:55:25,Measure,88.62
2024-04-03 11:34:00,2024-04-03 11:42:50,Start,92.88
2024-04-04 04:00:00,2024-04-04 04:02:58,Alert,15.5
2024-04-04 08:36:00,2024-04-04 08:43:35,Stop,34.92
2024-04-02 22:38:00,2024-04-02 22:47:51,Idle,82.56
2024-04-02 10:39:00,2024-04-02 10:44:20,Stop,77.34
2024-04-02 17:04:00,2024-04-02 17:09:15,Idle,26.61
2024-04-03 05:50:00,2024-04-03 05:54:45,Measure,28.84
2024-04-04 07:24:00,2024-04-04 07:25:52,Idle,43.34
2024-04-04 10:05:00,2024-04-04 10:14:19,Alert,53.61
2024-04-02 05:20:00,2024-04-02 05:29:25,Start,65.64
2024-04-03 13:45:00,2024-04-03 13:52:03,Idle,43.2
2024-04-03 07:40:00,2024-04-03 07:45:39,Idle,51.63
2024-04-02 18:56:00,2024-04-02 18:59:37,Start,77.27
2024-04-02 12:36:00,2024-04-02 12:37:58,Alert,13.3
2024-04-03 04:20:00,2024-04-03 04:23:07,Stop,32.72
2024-04-04 20:52:00,2024-04-04 20:54:54,Idle,74.2
2024-04-03 02:45:00,2024-04-03 02:49:28,Start,90.57
2024-04-03 16:40:00,2024-04-03 16:49:45,Measure,56.05
2024-04-04 06:47:00,2024-04-04 06:56:40,Start,57.89
2024-04-03 06:00:00,2024-04-03 06:04:56,Measure,19.65
2024-04-05 02:21:00,2024-04-05 02:26:40,Alert,50.27
2024-04-05 00:40:00,2024-04-05 00:46:58,Stop,57.94
2024-04-02 23:57:00,2024-04-03 00:01:20,Start,31.82
2024-04-03 16:48:00,2024-04-03 16:53:37,Run,34.23
2024-04-03 05:17:00,2024-04-03 05:21:54,Idle,43.96
2024-04-03 03:12:00,2024-04-03 03:21:13,Alert,11.81
2024-04-02 10:35:00,2024-04-02 10:36:03,Start,38.99
2024-04-04 04:08:00,2024-04-04 04:16:21,Idle,29.03
2024-04-03 21:15:00,2024-04-03 21:16:28,Start,39.47
2024-04-02 11:08:00,2024-04-02 11:10:48,Measure,20.78
2024-04-03 04:42:00,2024-04-03 04:44:14,Start,90.15
