소방서명,신고시간,출동시간
남부,2022-01-01 17:45,2022-01-01 17:49
동부,2022-01-01 10:56,2022-01-01 11:01
동부,2022-01-01 22:25,2022-01-01 22:34
남부,2022-01-01 21:36,2022-01-01 21:44
중부,2022-01-01 01:14,2022-01-01 01:15
북부,2022-01-01 08:10,2022-01-01 08:14
서부,2022-01-01 18:16,2022-01-01 18:24
동부,2022-01-01 01:12,2022-01-01 01:14
서부,2022-01-01 13:02,2022-01-01 13:06
북부,2022-01-01 02:10,2022-01-01 02:11
남부,2022-01-01 06:55,2022-01-01 06:58
북부,2022-01-01 18:13,2022-01-01 18:21
남부,2022-01-01 17:59,2022-01-01 18:04
북부,2022-01-01 17:40,2022-01-01 17:45
서부,2022-01-01 03:37,2022-01-01 03:38
서부,2022-01-01 04:14,2022-01-01 04:16
남부,2022-01-01 23:38,2022-01-01 23:47
동부,2022-01-01 04:34,2022-01-01 04:36
중부,2022-01-01 08:36,2022-01-01 08:39
남부,2022-01-01 14:57,2022-01-01 15:02
동부,2022-01-01 11:18,2022-01-01 11:22
북부,2022-01-01 13:29,2022-01-01 13:34
북부,2022-01-01 00:21,2022-01-01 00:23
서부,2022-01-01 17:49,2022-01-01 17:54
남부,2022-01-01 04:27,2022-01-01 04:33
북부,2022-01-01 22:07,2022-01-01 22:14
남부,2022-01-01 16:53,2022-01-01 16:57
중부,2022-01-01 10:07,2022-01-01 10:11
북부,2022-01-01 00:22,2022-01-01 00:24
동부,2022-01-01 19:24,2022-01-01 19:32
서부,2022-01-01 10:53,2022-01-01 10:56
동부,2022-01-01 20:38,2022-01-01 20:46
서부,2022-01-01 17:42,2022-01-01 17:47
북부,2022-01-01 01:18,2022-01-01 01:19
북부,2022-01-01 18:04,2022-01-01 18:12
서부,2022-01-01 07:48,2022-01-01 07:51
북부,2022-01-01 13:45,2022-01-01 13:48
중부,2022-01-01 19:25,2022-01-01 19:33
북부,2022-01-01 01:58,2022-01-01 01:59
남부,2022-01-01 02:41,2022-01-01 02:44
동부,2022-01-01 21:57,2022-01-01 22:05
중부,2022-01-01 21:28,2022-01-01 21:35
중부,2022-01-01 07:08,2022-01-01 07:13
남부,2022-01-01 05:09,2022-01-01 05:11
중부,2022-01-01 09:15,2022-01-01 09:17
중부,2022-01-01 14:47,2022-01-01 14:54
남부,2022-01-01 06:25,2022-01-01 06:28
서부,2022-01-01 15:00,2022-01-01 15:04
남부,2022-01-01 16:04,2022-01-01 16:09
북부,2022-01-01 10:08,2022-01-01 10:13
서부,2022-01-01 22:01,2022-01-01 22:08
서부,2022-01-01 01:35,2022-01-01 01:36
중부,2022-01-01 07:47,2022-01-01 07:52
남부,2022-01-01 22:48,2022-01-01 22:56
북부,2022-01-01 21:13,2022-01-01 21:21
서부,2022-01-01 11:00,2022-01-01 11:03
북부,2022-01-01 00:50,2022-01-01 00:51
서부,2022-01-01 10:01,2022-01-01 10:06
북부,2022-01-01 13:08,2022-01-01 13:11
북부,2022-01-01 23:36,2022-01-01 23:44
중부,2022-01-02 05:42,2022-01-02 05:44
북부,2022-01-02 18:23,2022-01-02 18:30
중부,2022-01-02 20:47,2022-01-02 20:54
동부,2022-01-02 03:57,2022-01-02 03:59
중부,2022-01-02 06:01,2022-01-02 06:04
중부,2022-01-02 09:15,2022-01-02 09:20
남부,2022-01-02 04:08,2022-01-02 04:11
동부,2022-01-02 15:41,2022-01-02 15:45
중부,2022-01-02 16:59,2022-01-02 17:03
남부,2022-01-02 11:28,2022-01-02 11:31
동부,2022-01-02 05:14,2022-01-02 05:15
남부,2022-01-02 01:19,2022-01-02 01:21
남부,2022-01-02 23:11,2022-01-02 23:19
동부,2022-01-02 18:59,2022-01-02 19:07
중부,2022-01-02 08:08,2022-01-02 08:12
서부,2022-01-02 16:16,2022-01-02 16:20
동부,2022-01-02 09:08,2022-01-02 09:12
북부,2022-01-02 14:33,2022-01-02 14:37
북부,2022-01-02 13:11,2022-01-02 13:14
남부,2022-01-02 18:55,2022-01-02 19:04
서부,2022-01-02 12:13,2022-01-02 12:15
동부,2022-01-02 01:11,2022-01-02 01:12
북부,2022-01-02 00:17,2022-01-02 00:18
서부,2022-01-02 06:13,2022-01-02 06:16
남부,2022-01-02 08:39,2022-01-02 08:43
동부,2022-01-02 07:43,2022-01-02 07:46
북부,2022-01-02 14:35,2022-01-02 14:38
북부,2022-01-02 17:07,2022-01-02 17:11
동부,2022-01-02 18:19,2022-01-02 18:26
동부,2022-01-02 05:31,2022-01-02 05:34
서부,2022-01-02 12:15,2022-01-02 12:18
동부,2022-01-02 05:12,2022-01-02 05:14
남부,2022-01-02 21:30,2022-01-02 21:37
서부,2022-01-02 01:56,2022-01-02 01:57
북부,2022-01-02 12:07,2022-01-02 12:12
중부,2022-01-02 02:41,2022-01-02 02:43
서부,2022-01-02 16:51,2022-01-02 16:56
동부,2022-01-02 10:32,2022-01-02 10:34
남부,2022-01-02 14:16,2022-01-02 14:22
북부,2022-01-02 21:56,2022-01-02 22:04
동부,2022-01-02 01:40,2022-01-02 01:41
남부,2022-01-02 08:11,2022-01-02 08:17
남부,2022-01-02 01:10,2022-01-02 01:12
남부,2022-01-02 02:12,2022-01-02 02:13
중부,2022-01-02 15:13,2022-01-02 15:18
동부,2022-01-02 17:03,2022-01-02 17:07
중부,2022-01-02 19:05,2022-01-02 19:12
중부,2022-01-02 12:47,2022-01-02 12:51
남부,2022-01-02 07:48,2022-01-02 07:50
중부,2022-01-02 07:46,2022-01-02 07:48
서부,2022-01-02 10:33,2022-01-02 10:36
북부,2022-01-02 13:42,2022-01-02 13:46
남부,2022-01-02 01:28,2022-01-02 01:29
동부,2022-01-02 02:56,2022-01-02 02:58
서부,2022-01-02 17:50,2022-01-02 17:56
남부,2022-01-02 13:37,2022-01-02 13:42
남부,2022-01-02 13:54,2022-01-02 13:58
중부,2022-01-02 07:09,2022-01-02 07:14
북부,2022-01-02 09:33,2022-01-02 09:38
서부,2022-01-02 09:18,2022-01-02 09:22
서부,2022-01-03 09:55,2022-01-03 09:59
동부,2022-01-03 04:59,2022-01-03 05:00
중부,2022-01-03 10:23,2022-01-03 10:26
북부,2022-01-03 06:54,2022-01-03 06:59
동부,2022-01-03 11:42,2022-01-03 11:45
중부,2022-01-03 23:49,2022-01-03 23:56
중부,2022-01-03 09:32,2022-01-03 09:34
중부,2022-01-03 19:58,2022-01-03 20:05
서부,2022-01-03 07:58,2022-01-03 08:01
동부,2022-01-03 18:44,2022-01-03 18:50
동부,2022-01-03 12:16,2022-01-03 12:20
동부,2022-01-03 01:27,2022-01-03 01:28
서부,2022-01-03 09:21,2022-01-03 09:24
서부,2022-01-03 09:25,2022-01-03 09:28
동부,2022-01-03 05:42,2022-01-03 05:43
북부,2022-01-03 20:12,2022-01-03 20:20
중부,2022-01-03 19:10,2022-01-03 19:16
중부,2022-01-03 09:20,2022-01-03 09:22
동부,2022-01-03 13:10,2022-01-03 13:14
남부,2022-01-03 09:43,2022-01-03 09:47
서부,2022-01-03 02:04,2022-01-03 02:06
동부,2022-01-03 18:05,2022-01-03 18:12
서부,2022-01-03 22:27,2022-01-03 22:34
서부,2022-01-03 06:26,2022-01-03 06:29
중부,2022-01-03 05:43,2022-01-03 05:45
남부,2022-01-03 18:46,2022-01-03 18:54
동부,2022-01-03 10:25,2022-01-03 10:28
북부,2022-01-03 23:11,2022-01-03 23:17
북부,2022-01-03 18:46,2022-01-03 18:54
동부,2022-01-03 15:15,2022-01-03 15:19
중부,2022-01-03 20:11,2022-01-03 20:18
