Year,Gender,Region_Code,Salary,Bonus
2018,M,101,2860,270
2018,M,101,3130,71
2018,M,101,3638,121
2018,M,101,2466,214
2018,M,101,2330,458
2018,M,101,4135,372
2018,M,101,4919,663
2018,M,101,2130,661
2018,M,101,2769,343
2018,M,101,3515,413
2018,M,102,4853,385
2018,M,102,3215,955
2018,M,102,4324,160
2018,M,102,2459,313
2018,M,102,2021,252
2018,M,102,2747,856
2018,M,102,2474,58
2018,M,102,4558,681
2018,M,102,4047,475
2018,M,102,4747,975
2018,M,103,3806,189
2018,M,103,4734,957
2018,M,103,2562,875
2018,M,103,3267,831
2018,M,103,3528,130
2018,M,103,2646,20
2018,M,103,4888,166
2018,M,103,3297,387
2018,M,103,2600,315
2018,M,103,4061,241
2018,M,104,4041,776
2018,M,104,4612,897
2018,M,104,3363,91
2018,M,104,3390,955
2018,M,104,3478,427
2018,M,104,4556,775
2018,M,104,2034,205
2018,M,104,3955,561
2018,M,104,3021,389
2018,M,104,4613,105
2018,F,101,3500,702
2018,F,101,4449,729
2018,F,101,3579,161
2018,F,101,2201,957
2018,F,101,2995,269
2018,F,101,2815,270
2018,F,101,2455,461
2018,F,101,3275,701
2018,F,101,4343,724
2018,F,101,4767,748
2018,F,102,2337,878
2018,F,102,3076,791
2018,F,102,4264,763
2018,F,102,4235,379
2018,F,102,2492,40
2018,F,102,3180,14
2018,F,102,2064,856
2018,F,102,4568,343
2018,F,102,3152,647
2018,F,102,3495,62
2018,F,103,3162,498
2018,F,103,4640,391
2018,F,103,3698,418
2018,F,103,4336,378
2018,F,103,3796,489
2018,F,103,4278,40
2018,F,103,4182,200
2018,F,103,3863,779
2018,F,103,4977,32
2018,F,103,2502,406
2018,F,104,3751,804
2018,F,104,4146,683
2018,F,104,3895,725
2018,F,104,3570,960
2018,F,104,4660,942
2018,F,104,3485,642
2018,F,104,3028,217
2018,F,104,2502,766
2018,F,104,2397,870
2018,F,104,4842,392
2019,M,101,2206,14
2019,M,101,3881,553
2019,M,101,4939,460
2019,M,101,2863,742
2019,M,101,2563,95
2019,M,101,3923,733
2019,M,101,4532,406
2019,M,101,4278,748
2019,M,101,3678,170
2019,M,101,2540,35
2019,M,102,4572,159
2019,M,102,3722,242
2019,M,102,3819,577
2019,M,102,4729,556
2019,M,102,3597,952
2019,M,102,4693,795
2019,M,102,3051,619
2019,M,102,3363,797
2019,M,102,3981,330
2019,M,102,3663,505
2019,M,103,4038,347
2019,M,103,3496,230
2019,M,103,4237,224
2019,M,103,3408,376
2019,M,103,3306,957
2019,M,103,4680,627
2019,M,103,2972,744
2019,M,103,3282,358
2019,M,103,2709,455
2019,M,103,3434,648
2019,M,104,2317,676
2019,M,104,3257,683
2019,M,104,2663,974
2019,M,104,3631,471
2019,M,104,3136,829
2019,M,104,3520,441
2019,M,104,2563,267
2019,M,104,3636,624
