mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
26,4,97,46,1950,21,73,europe,volkswagen super beetle
26,4,97,46,1835,20.5,70,europe,volkswagen 1131 deluxe sedan
44.3,4,90,48,2085,21.7,80,europe,vw rabbit c (diesel)
43.4,4,90,48,2335,23.7,80,europe,vw dasher (diesel)
43.1,4,90,48,1985,21.5,78,europe,volkswagen rabbit custom diesel
44.3,4,90,48,2085,21.7,80,europe,vw rabbit c (diesel)
29,4,68,49,1867,19.5,73,europe,fiat 128
29,4,85,52,2035,22.2,76,usa,chevrolet chevette
44,4,97,52,2130,24.6,82,europe,vw pickup
31,4,76,52,1649,16.5,74,japan,toyota corona
32.8,4,78,52,1985,19.4,78,japan,mazda glc deluxe
33,4,91,53,1795,17.5,75,japan,honda civic cvcc
33,4,91,53,1795,17.4,76,japan,honda civic
23,4,97,54,2254,23.5,72,europe,volkswagen type 3
23,4,97,54,2254,23.5,72,europe,volkswagen type 3
36,4,79,58,1825,18.6,77,europe,renault 5 gtl
39.1,4,79,58,1755,16.9,81,japan,toyota starlet
24.5,4,98,60,2164,22.1,76,usa,chevrolet woody
35.1,4,81,60,1760,16.1,81,japan,honda civic 1300
27,4,97,60,1834,19,71,europe,volkswagen model 111
38.1,4,89,60,1968,18.8,80,japan,toyota corolla tercel
36.1,4,91,60,1800,16.4,78,japan,honda civic cvcc
32,4,83,61,2003,19,74,japan,datsun 710
29.8,4,89,62,1845,15.3,80,europe,vokswagen rabbit
37.7,4,89,62,2050,17.3,81,japan,toyota tercel
34.7,4,105,63,2215,14.9,81,usa,plymouth horizon 4
30.5,4,98,63,2051,17,77,usa,chevrolet chevette
38,4,105,63,2125,14.7,82,usa,plymouth horizon miser
39,4,86,64,1875,16.4,81,usa,plymouth champ
32,4,71,65,1836,21,74,japan,toyota corolla 1200
37.2,4,86,65,2019,16.4,80,japan,datsun 310
40.8,4,85,65,2110,19.2,80,japan,datsun 210
34.1,4,86,65,1975,15.2,79,japan,maxda glc deluxe
46.6,4,86,65,2110,17.9,80,japan,mazda glc
31,4,71,65,1773,19,71,japan,toyota corolla 1200
31.8,4,85,65,2020,19.2,79,japan,datsun 210
34.4,4,98,65,2045,16.2,81,usa,ford escort 4w
29.9,4,98,65,2380,20.7,81,usa,ford escort 2h
37,4,85,65,1975,19.4,81,japan,datsun 210 mpg
34.4,4,98,65,2045,16.2,81,usa,ford escort 4w
46.6,4,86,65,2110,17.9,80,japan,mazda glc
37.2,4,86,65,2019,16.4,80,japan,datsun 310
36.1,4,98,66,1800,14.4,78,usa,ford fiesta
44.6,4,91,67,1850,13.8,80,japan,honda civic 1500 gl
38,4,91,67,1965,15,82,japan,honda civic
32.3,4,97,67,2065,17.8,81,japan,subaru
31,4,79,67,2000,16,74,europe,fiat x1.9
26,4,79,67,1963,15.5,74,europe,volkswagen dasher
31,4,79,67,1950,19,74,japan,datsun b210
32,4,91,67,1965,15.7,82,japan,honda civic (auto)
30,4,97,67,1985,16.4,77,japan,subaru dl
38,4,91,67,1995,16.2,82,japan,datsun 310 gx
30,4,146,67,3250,21.8,80,europe,mercedes-benz 240d
33.8,4,97,67,2145,18,80,japan,subaru dl
36.4,5,121,67,2950,19.9,80,europe,audi 5000s (diesel)
30,4,98,68,2155,16.5,78,usa,chevrolet chevette
31.5,4,98,68,2045,18.5,77,japan,honda accord cvcc
31,4,91,68,1970,17.6,82,japan,mazda glc custom
34.1,4,91,68,1985,16,81,japan,mazda glc 4
29.5,4,98,68,2135,16.6,78,japan,honda accord lx
37,4,91,68,2025,18.2,82,japan,mazda glc custom l
26,4,96,69,2189,18,72,europe,renault 12 (sw)
37.3,4,91,69,2130,14.7,79,europe,fiat strada custom
35,4,72,69,1613,18,71,japan,datsun 1200
32,4,85,70,1990,17,76,japan,datsun b-210
26,4,91,70,1955,20.5,71,usa,plymouth cricket
33.5,4,85,70,1945,16.8,77,japan,datsun f-10 hatchback
36,4,98,70,2125,17.3,82,usa,mercury lynx l
34.5,4,105,70,2150,14.9,79,usa,plymouth horizon tc3
39.4,4,85,70,2070,18.6,78,japan,datsun b210 gx
34.2,4,105,70,2200,13.2,79,usa,plymouth horizon
32.1,4,98,70,2120,15.5,80,usa,chevrolet chevette
29,4,90,70,1937,14,75,europe,volkswagen rabbit
34,4,108,70,2245,16.9,82,japan,toyota corolla
29,4,90,70,1937,14.2,76,europe,vw rabbit
30,4,79,70,2074,19.5,71,europe,peugeot 304
31.9,4,89,70,1925,14,79,europe,vw rabbit custom
27.2,4,141,70,3190,24.8,79,europe,peugeot 504
31.5,4,89,70,1990,14.9,78,europe,volkswagen scirocco
25,4,90,70,2223,16.5,75,europe,volkswagen dasher
29.5,4,97,71,1825,12.2,76,europe,volkswagen rabbit
21,4,140,72,2401,19.5,73,usa,chevrolet vega
32.4,4,107,72,2290,17,80,japan,honda accord
15,6,250,72,3158,19.5,75,usa,ford maverick
22,4,140,72,2408,19,71,usa,chevrolet vega (sw)
15,6,250,72,3432,21,75,usa,mercury monarch
26.5,4,140,72,2565,13.6,76,usa,ford pinto
33,4,105,74,2190,14.2,81,europe,volkswagen jetta
36,4,105,74,1980,15.3,82,europe,volkswagen rabbit l
31.6,4,120,74,2635,18.3,81,japan,mazda 626
30.9,4,105,75,2230,14.5,78,usa,dodge omni
28,4,90,75,2125,14.5,74,usa,dodge colt
28,4,97,75,2155,16.4,76,japan,toyota corolla
26,4,116,75,2246,14,74,europe,fiat 124 tc
33.7,4,107,75,2210,14.4,81,japan,honda prelude
32.4,4,108,75,2350,16.8,81,japan,toyota corolla
36,4,107,75,2205,14.5,82,japan,honda accord
29,4,97,75,2171,16,75,japan,toyota corolla
31.3,4,120,75,2542,17.5,80,japan,mazda 626
32.2,4,108,75,2265,15.2,80,japan,toyota corolla
24,4,90,75,2108,15.5,74,europe,fiat 128
24,4,116,75,2158,15.5,73,europe,opel manta
25,4,140,75,2542,17,74,usa,chevrolet vega
26,4,97,75,2265,18.2,77,japan,toyota corolla liftback
41.5,4,98,76,2144,14.7,80,europe,vw rabbit
30,4,88,76,2065,14.5,71,europe,fiat 124b
30.7,6,145,76,3160,19.6,81,europe,volvo diesel
22,4,121,76,2511,18,72,europe,volkswagen 411 (sw)
25.4,5,183,77,3530,20.1,79,europe,mercedes benz 300d
34.3,4,97,78,2188,15.8,80,europe,audi 4000
23,4,140,78,2592,18.5,75,usa,pontiac astro
18,6,250,78,3574,21,76,usa,ford granada ghia
26,4,97,78,2300,14.5,74,europe,opel manta
30.5,4,97,78,2190,14.1,77,europe,volkswagen dasher
29,4,97,78,1940,14.5,77,europe,volkswagen rabbit custom
28,4,120,79,2625,18.6,82,usa,ford ranger
