age,salary,specialSalary,workTime,numberOfWorker,career,gender
-19,1346534 ,151840 ,169.5,15042 ,Under 1Y,M
20-24,1584214 ,115375 ,180.1,74251 ,Under 1Y,M
25-29,1922043 ,268058 ,178.0,143338 ,Under 1Y,M
30-34,2130988 ,335710 ,180.8,103585 ,Under 1Y,M
35-39,2414345 ,352816 ,181.4,65385 ,Under 1Y,M
40-44,2372214 ,233728 ,182.9,55422 ,Under 1Y,M
45-49,2354052 ,224996 ,182.2,37819 ,Under 1Y,M
50-54,2145866 ,166779 ,182.5,37814 ,Under 1Y,M
55-59,2083157 ,165352 ,181.3,32106 ,Under 1Y,M
60-,1670852 ,122337 ,191.7,37912 ,Under 1Y,M
-19,1652158 ,1355014 ,193.6,3801 ,Under 1~3Y,M
20-24,1792533 ,2225371 ,194.8,66087 ,Under 1~3Y,M
25-29,2162605 ,4216409 ,181.6,279633 ,Under 1~3Y,M
30-34,2276212 ,3446843 ,181.8,238199 ,Under 1~3Y,M
35-39,2619221 ,3293102 ,185.1,123924 ,Under 1~3Y,M
40-44,2569419 ,2477687 ,184.0,99512 ,Under 1~3Y,M
45-49,2545490 ,2395252 ,186.9,69938 ,Under 1~3Y,M
50-54,2298994 ,1875009 ,187.8,60795 ,Under 1~3Y,M
55-59,2264538 ,1953017 ,187.6,52151 ,Under 1~3Y,M
60-,1714010 ,1145849 ,192.3,60986 ,Under 1~3Y,M
-19,1414136 ,282969 ,191.1,147 ,Under 3~5Y,M
20-24,1875815 ,2922272 ,190.5,8799 ,Under 3~5Y,M
25-29,2329024 ,5822113 ,182.0,118480 ,Under 3~5Y,M
30-34,2519343 ,5167805 ,177.4,202527 ,Under 3~5Y,M
35-39,2759442 ,4259247 ,181.4,101201 ,Under 3~5Y,M
40-44,2827420 ,3698934 ,184.1,76376 ,Under 3~5Y,M
45-49,2621065 ,2947414 ,186.8,52698 ,Under 3~5Y,M
50-54,2495111 ,2848512 ,187.6,48056 ,Under 3~5Y,M
55-59,2153536 ,2514897 ,188.0,34147 ,Under 3~5Y,M
60-,1759854 ,1176707 ,193.6,44971 ,Under 3~5Y,M
-19,2483000 ,-,226.0,12 ,Under 5~10Y,M
20-24,2239079 ,7061945 ,198.9,2621 ,Under 5~10Y,M
25-29,2396300 ,6519536 ,185.2,47532 ,Under 5~10Y,M
30-34,2850779 ,8639942 ,176.7,352266 ,Under 5~10Y,M
35-39,3154395 ,7292091 ,174.3,257333 ,Under 5~10Y,M
40-44,3309231 ,5944339 ,177.5,147778 ,Under 5~10Y,M
45-49,3157228 ,4840913 ,181.3,92043 ,Under 5~10Y,M
50-54,2857472 ,4272066 ,183.3,82198 ,Under 5~10Y,M
55-59,2545153 ,3222472 ,184.2,50482 ,Under 5~10Y,M
60-,1974552 ,1701636 ,190.1,58812 ,Under 5~10Y,M
-19,-,-,-,-,Above 10Y,M
20-24,2177278 ,1574013 ,201.3,1914 ,Above 10Y,M
25-29,2458617 ,5267026 ,186.6,12123 ,Above 10Y,M
30-34,2854599 ,7455326 ,183.6,82520 ,Above 10Y,M
35-39,3358258 ,9419272 ,174.5,348837 ,Above 10Y,M
40-44,3806865 ,11694108 ,174.4,533852 ,Above 10Y,M
45-49,4047478 ,13252036 ,176.2,456593 ,Above 10Y,M
50-54,4064286 ,12716896 ,178.2,439450 ,Above 10Y,M
55-59,3835999 ,10205683 ,178.1,246685 ,Above 10Y,M
60-,3144527 ,3507610 ,177.4,150523 ,Above 10Y,M
-19,1242026 ,430322 ,151.7,17300 ,Under 1Y,F
20-24,1501757 ,143708 ,165.3,109940 ,Under 1Y,F
25-29,1715331 ,210036 ,165.4,87237 ,Under 1Y,F
30-34,1881262 ,180575 ,162.6,51270 ,Under 1Y,F
35-39,1643936 ,141326 ,165.0,40592 ,Under 1Y,F
40-44,1460618 ,77911 ,167.2,52903 ,Under 1Y,F
45-49,1407778 ,88609 ,172.4,42279 ,Under 1Y,F
50-54,1356059 ,73158 ,168.8,33970 ,Under 1Y,F
55-59,1266070 ,65589 ,161.0,21539 ,Under 1Y,F
60-,1117605 ,10667 ,148.0,18737 ,Under 1Y,F
-19,1614128 ,4749160 ,170.9,9428 ,Under 1~3Y,F
20-24,1703021 ,2731604 ,172.0,124923 ,Under 1~3Y,F
25-29,1926257 ,2707987 ,167.0,191733 ,Under 1~3Y,F
30-34,2021023 ,1942159 ,167.3,91241 ,Under 1~3Y,F
35-39,1814147 ,1434570 ,169.8,69379 ,Under 1~3Y,F
40-44,1622139 ,1103861 ,174.0,88912 ,Under 1~3Y,F
45-49,1505378 ,934670 ,176.1,73750 ,Under 1~3Y,F
50-54,1443682 ,743343 ,171.7,63293 ,Under 1~3Y,F
55-59,1382884 ,565542 ,169.5,38107 ,Under 1~3Y,F
60-,1172399 ,299639 ,151.2,30253 ,Under 1~3Y,F
-19,1809095 ,5586868 ,188.2,466 ,Under 3~5Y,F
20-24,1854096 ,5407722 ,176.1,31200 ,Under 3~5Y,F
25-29,2109702 ,4027023 ,166.8,125485 ,Under 3~5Y,F
30-34,2201773 ,3039131 ,165.6,72705 ,Under 3~5Y,F
35-39,2100852 ,2160337 ,170.0,46876 ,Under 3~5Y,F
40-44,1818857 ,1722998 ,177.3,59520 ,Under 3~5Y,F
45-49,1661907 ,1256709 ,179.5,53953 ,Under 3~5Y,F
50-54,1559168 ,1045037 ,175.4,43137 ,Under 3~5Y,F
55-59,1444562 ,813493 ,170.0,25092 ,Under 3~5Y,F
60-,1245540 ,423826 ,155.1,21106 ,Under 3~5Y,F
-19,1966014 ,8118143 ,194.2,425 ,Under 5~10Y,F
20-24,2017535 ,9680388 ,180.4,10016 ,Under 5~10Y,F
25-29,2200182 ,6212956 ,170.0,109175 ,Under 5~10Y,F
30-34,2487925 ,5284495 ,164.2,166040 ,Under 5~10Y,F
35-39,2518856 ,3868935 ,167.3,69567 ,Under 5~10Y,F
40-44,2106003 ,2803385 ,174.7,70603 ,Under 5~10Y,F
45-49,1887288 ,2281919 ,181.9,65253 ,Under 5~10Y,F
50-54,1758735 ,1897412 ,183.5,56112 ,Under 5~10Y,F
55-59,1751487 ,1369063 ,180.5,27707 ,Under 5~10Y,F
60-,1548036 ,806919 ,169.1,20282 ,Under 5~10Y,F
-19,-,-,-,-,Above 10Y,F
20-24,1685204 ,1970720 ,179.4,1886 ,Above 10Y,F
25-29,2316881 ,6244175 ,171.2,13731 ,Above 10Y,F
30-34,2551896 ,6920045 ,167.6,95100 ,Above 10Y,F
35-39,2926565 ,8114053 ,164.4,139405 ,Above 10Y,F
40-44,3002440 ,7495832 ,166.9,127340 ,Above 10Y,F
45-49,2874035 ,5324288 ,174.6,96050 ,Above 10Y,F
50-54,2575219 ,4800348 ,180.1,91643 ,Above 10Y,F
55-59,2465273 ,3950269 ,180.4,50502 ,Above 10Y,F
60-,2182715 ,2054945 ,173.3,28105 ,Above 10Y,F
