totalSalary,specialSalary,numberOfWorker,workTime
1498374,151840,15042,169.5
1699589,115375,74251,180.1
2190101,268058,143338,178.0
2466698,335710,103585,180.8
2767161,352816,65385,181.4
2605942,233728,55422,182.9
2579048,224996,37819,182.2
2312645,166779,37814,182.5
2248509,165352,32106,181.3
1793189,122337,37912,191.7
3007172,1355014,3801,193.6
4017904,2225371,66087,194.8
6379014,4216409,279633,181.6
5723055,3446843,238199,181.8
5912323,3293102,123924,185.1
5047106,2477687,99512,184.0
4940742,2395252,69938,186.9
4174003,1875009,60795,187.8
4217555,1953017,52151,187.6
2859859,1145849,60986,192.3
1697105,282969,147,191.1
4798087,2922272,8799,190.5
8151137,5822113,118480,182.0
7687148,5167805,202527,177.4
7018689,4259247,101201,181.4
6526354,3698934,76376,184.1
5568479,2947414,52698,186.8
5343623,2848512,48056,187.6
4668433,2514897,34147,188.0
2936561,1176707,44971,193.6
2483000,-,12,226.0
9301024,7061945,2621,198.9
8915836,6519536,47532,185.2
11490721,8639942,352266,176.7
10446486,7292091,257333,174.3
9253570,5944339,147778,177.5
7998141,4840913,92043,181.3
7129538,4272066,82198,183.3
5767625,3222472,50482,184.2
3676188,1701636,58812,190.1
-,-,-,-
3751291,1574013,1914,201.3
7725643,5267026,12123,186.6
10309925,7455326,82520,183.6
12777530,9419272,348837,174.5
15500973,11694108,533852,174.4
17299514,13252036,456593,176.2
16781182,12716896,439450,178.2
14041682,10205683,246685,178.1
6652137,3507610,150523,177.4
1672348,430322,17300,151.7
1645465,143708,109940,165.3
1925367,210036,87237,165.4
2061837,180575,51270,162.6
1785262,141326,40592,165.0
1538529,77911,52903,167.2
1496387,88609,42279,172.4
1429217,73158,33970,168.8
1331659,65589,21539,161.0
1128272,10667,18737,148.0
6363288,4749160,9428,170.9
4434625,2731604,124923,172.0
4634244,2707987,191733,167.0
3963182,1942159,91241,167.3
3248717,1434570,69379,169.8
2726000,1103861,88912,174.0
2440048,934670,73750,176.1
2187025,743343,63293,171.7
1948426,565542,38107,169.5
1472038,299639,30253,151.2
7395963,5586868,466,188.2
7261818,5407722,31200,176.1
6136725,4027023,125485,166.8
5240904,3039131,72705,165.6
4261189,2160337,46876,170.0
3541855,1722998,59520,177.3
2918616,1256709,53953,179.5
2604205,1045037,43137,175.4
2258055,813493,25092,170.0
1669366,423826,21106,155.1
10084157,8118143,425,194.2
11697923,9680388,10016,180.4
8413138,6212956,109175,170.0
7772420,5284495,166040,164.2
6387791,3868935,69567,167.3
4909388,2803385,70603,174.7
4169207,2281919,65253,181.9
3656147,1897412,56112,183.5
3120550,1369063,27707,180.5
2354955,806919,20282,169.1
-,-,-,-
3655924,1970720,1886,179.4
8561056,6244175,13731,171.2
9471941,6920045,95100,167.6
11040618,8114053,139405,164.4
10498272,7495832,127340,166.9
8198323,5324288,96050,174.6
7375567,4800348,91643,180.1
6415542,3950269,50502,180.4
4237660,2054945,28105,173.3
