sale_date,item_id,quantity
2024-01-01,ITEM_004,15
2024-01-01,ITEM_008,7
2024-01-01,ITEM_010,19
2024-01-01,ITEM_007,11
2024-01-01,ITEM_008,4
2024-01-01,ITEM_008,3
2024-01-01,ITEM_006,2
2024-01-01,ITEM_008,12
2024-01-01,ITEM_006,2
2024-01-01,ITEM_005,1
2024-01-01,ITEM_010,12
2024-01-02,ITEM_001,10
2024-01-02,ITEM_003,12
2024-01-02,ITEM_007,3
2024-01-02,ITEM_005,19
2024-01-02,ITEM_007,9
2024-01-02,ITEM_007,18
2024-01-02,ITEM_004,14
2024-01-02,ITEM_002,9
2024-01-02,ITEM_010,2
2024-01-02,ITEM_004,15
2024-01-02,ITEM_007,12
2024-01-02,ITEM_008,15
2024-01-02,ITEM_003,14
2024-01-03,ITEM_004,18
2024-01-03,ITEM_008,4
2024-01-03,ITEM_002,6
2024-01-03,ITEM_006,10
2024-01-03,ITEM_004,18
2024-01-04,ITEM_002,10
2024-01-04,ITEM_004,14
2024-01-04,ITEM_008,14
2024-01-04,ITEM_007,8
2024-01-04,ITEM_005,16
2024-01-04,ITEM_002,15
2024-01-04,ITEM_005,13
2024-01-04,ITEM_009,15
2024-01-04,ITEM_001,7
2024-01-04,ITEM_009,1
2024-01-04,ITEM_008,11
2024-01-04,ITEM_003,17
2024-01-04,ITEM_008,3
2024-01-04,ITEM_003,1
2024-01-05,ITEM_005,10
2024-01-05,ITEM_007,9
2024-01-05,ITEM_007,9
2024-01-05,ITEM_008,12
2024-01-05,ITEM_002,1
2024-01-05,ITEM_007,5
2024-01-05,ITEM_003,12
2024-01-05,ITEM_008,3
2024-01-05,ITEM_001,3
2024-01-05,ITEM_005,15
2024-01-05,ITEM_003,1
2024-01-05,ITEM_005,14
2024-01-05,ITEM_007,9
2024-01-05,ITEM_010,10
2024-01-05,ITEM_003,7
2024-01-06,ITEM_004,4
2024-01-06,ITEM_005,7
2024-01-06,ITEM_004,13
2024-01-06,ITEM_007,19
2024-01-06,ITEM_006,2
2024-01-07,ITEM_009,6
2024-01-07,ITEM_004,11
2024-01-07,ITEM_010,7
2024-01-07,ITEM_001,1
2024-01-07,ITEM_009,13
2024-01-07,ITEM_009,3
2024-01-07,ITEM_007,6
2024-01-07,ITEM_008,9
2024-01-07,ITEM_005,1
2024-01-07,ITEM_003,10
2024-01-07,ITEM_008,15
2024-01-07,ITEM_006,9
2024-01-07,ITEM_004,17
2024-01-07,ITEM_001,12
2024-01-08,ITEM_002,3
2024-01-08,ITEM_001,5
2024-01-08,ITEM_001,17
2024-01-08,ITEM_001,2
2024-01-08,ITEM_002,5
2024-01-08,ITEM_001,1
2024-01-08,ITEM_003,2
2024-01-08,ITEM_005,12
2024-01-08,ITEM_010,6
2024-01-08,ITEM_007,4
2024-01-08,ITEM_007,11
2024-01-09,ITEM_001,6
2024-01-09,ITEM_008,5
2024-01-09,ITEM_004,2
2024-01-09,ITEM_006,11
2024-01-09,ITEM_001,9
2024-01-09,ITEM_006,16
2024-01-09,ITEM_003,4
2024-01-09,ITEM_003,3
2024-01-09,ITEM_003,7
2024-01-09,ITEM_004,9
2024-01-09,ITEM_001,8
2024-01-09,ITEM_007,18
2024-01-10,ITEM_001,11
2024-01-10,ITEM_009,18
2024-01-10,ITEM_007,10
2024-01-10,ITEM_003,7
2024-01-10,ITEM_010,16
2024-01-10,ITEM_009,17
2024-01-10,ITEM_002,1
2024-01-10,ITEM_005,5
2024-01-10,ITEM_007,9
2024-01-10,ITEM_009,3
2024-01-10,ITEM_003,16
2024-01-10,ITEM_003,1
2024-01-11,ITEM_004,11
2024-01-11,ITEM_001,8
2024-01-11,ITEM_004,6
2024-01-11,ITEM_008,3
2024-01-11,ITEM_009,3
2024-01-11,ITEM_009,18
2024-01-11,ITEM_002,2
2024-01-11,ITEM_006,3
2024-01-11,ITEM_009,4
2024-01-11,ITEM_001,4
2024-01-11,ITEM_001,14
2024-01-11,ITEM_005,16
2024-01-12,ITEM_008,8
2024-01-12,ITEM_007,3
2024-01-12,ITEM_001,1
2024-01-12,ITEM_003,14
2024-01-12,ITEM_006,6
2024-01-12,ITEM_003,8
2024-01-12,ITEM_002,1
2024-01-12,ITEM_001,5
2024-01-13,ITEM_004,3
2024-01-13,ITEM_001,17
2024-01-13,ITEM_005,6
2024-01-13,ITEM_003,9
2024-01-13,ITEM_005,17
2024-01-13,ITEM_005,3
2024-01-13,ITEM_001,1
2024-01-14,ITEM_002,10
2024-01-14,ITEM_006,3
2024-01-14,ITEM_008,14
2024-01-14,ITEM_008,18
2024-01-14,ITEM_006,2
2024-01-14,ITEM_010,2
2024-01-14,ITEM_010,17
2024-01-15,ITEM_001,9
2024-01-15,ITEM_006,16
2024-01-15,ITEM_007,10
2024-01-15,ITEM_007,3
2024-01-15,ITEM_002,13
2024-01-15,ITEM_010,7
2024-01-15,ITEM_009,4
2024-01-15,ITEM_004,1
2024-01-15,ITEM_008,14
2024-01-15,ITEM_003,15
2024-01-15,ITEM_002,2
2024-01-15,ITEM_007,19
2024-01-16,ITEM_010,17
2024-01-16,ITEM_004,10
2024-01-16,ITEM_006,15
2024-01-16,ITEM_006,11
2024-01-16,ITEM_005,1
2024-01-16,ITEM_008,12
2024-01-16,ITEM_005,7
2024-01-16,ITEM_004,6
2024-01-16,ITEM_004,15
2024-01-16,ITEM_003,8
2024-01-16,ITEM_004,16
2024-01-16,ITEM_002,10
2024-01-16,ITEM_003,17
2024-01-17,ITEM_003,5
2024-01-17,ITEM_010,9
2024-01-17,ITEM_005,1
2024-01-17,ITEM_010,1
2024-01-17,ITEM_002,16
2024-01-17,ITEM_009,8
2024-01-17,ITEM_005,1
2024-01-17,ITEM_007,5
2024-01-17,ITEM_006,3
2024-01-17,ITEM_010,16
2024-01-17,ITEM_003,5
2024-01-17,ITEM_006,14
2024-01-18,ITEM_001,14
2024-01-18,ITEM_004,5
2024-01-18,ITEM_010,16
2024-01-18,ITEM_005,7
2024-01-18,ITEM_004,1
2024-01-18,ITEM_005,10
2024-01-18,ITEM_006,5
2024-01-18,ITEM_004,2
2024-01-18,ITEM_004,10
2024-01-19,ITEM_003,1
2024-01-19,ITEM_008,5
2024-01-19,ITEM_004,16
2024-01-19,ITEM_008,16
2024-01-19,ITEM_007,2
2024-01-19,ITEM_001,12
2024-01-19,ITEM_002,3
2024-01-19,ITEM_001,1
2024-01-19,ITEM_003,11
2024-01-19,ITEM_005,12
2024-01-19,ITEM_003,1
2024-01-19,ITEM_001,8
2024-01-19,ITEM_010,11
2024-01-19,ITEM_002,19
2024-01-20,ITEM_003,17
2024-01-20,ITEM_010,8
2024-01-20,ITEM_010,10
2024-01-20,ITEM_010,2
