Date,Road_Code,Vehicle_Type,Car_Count,Truck_Count
2023-01-01,201,Car,304,175
2023-01-01,201,Truck,846,92
2023-01-01,202,Car,851,420
2023-01-01,202,Truck,210,298
2023-01-01,203,Car,762,232
2023-01-01,203,Truck,947,144
2023-01-01,204,Car,473,449
2023-01-01,204,Truck,619,437
2023-01-02,201,Car,459,437
2023-01-02,201,Truck,795,330
2023-01-02,202,Car,294,401
2023-01-02,202,Truck,294,204
2023-01-02,203,Car,192,209
2023-01-02,203,Truck,160,171
2023-01-02,204,Car,150,452
2023-01-02,204,Truck,888,54
2023-01-03,201,Car,565,141
2023-01-03,201,Truck,781,366
2023-01-03,202,Car,633,454
2023-01-03,202,Truck,937,50
2023-01-03,203,Car,744,282
2023-01-03,203,Truck,623,395
2023-01-03,204,Car,145,83
2023-01-03,204,Truck,177,267
2023-01-04,201,Car,912,460
2023-01-04,201,Truck,172,331
2023-01-04,202,Car,348,96
2023-01-04,202,Truck,220,263
2023-01-04,203,Car,338,105
2023-01-04,203,Truck,449,156
2023-01-04,204,Car,930,97
2023-01-04,204,Truck,672,386
2023-01-05,201,Car,125,341
2023-01-05,201,Truck,356,57
2023-01-05,202,Car,724,404
2023-01-05,202,Truck,352,229
2023-01-05,203,Car,818,352
2023-01-05,203,Truck,738,105
2023-01-05,204,Car,825,63
2023-01-05,204,Truck,573,77
2023-01-06,201,Car,177,265
2023-01-06,201,Truck,485,414
2023-01-06,202,Car,765,63
2023-01-06,202,Truck,798,361
2023-01-06,203,Car,982,56
2023-01-06,203,Truck,102,160
2023-01-06,204,Car,849,412
2023-01-06,204,Truck,850,323
2023-01-07,201,Car,605,343
2023-01-07,201,Truck,838,420
2023-01-07,202,Car,114,241
2023-01-07,202,Truck,730,77
2023-01-07,203,Car,813,88
2023-01-07,203,Truck,372,280
2023-01-07,204,Car,185,175
2023-01-07,204,Truck,911,74
2023-01-08,201,Car,244,62
2023-01-08,201,Truck,311,74
2023-01-08,202,Car,679,443
2023-01-08,202,Truck,166,282
2023-01-08,203,Car,208,195
2023-01-08,203,Truck,210,277
2023-01-08,204,Car,210,83
2023-01-08,204,Truck,722,313
2023-01-09,201,Car,468,285
2023-01-09,201,Truck,694,91
2023-01-09,202,Car,524,150
2023-01-09,202,Truck,617,229
2023-01-09,203,Car,381,369
2023-01-09,203,Truck,837,492
2023-01-09,204,Car,414,414
2023-01-09,204,Truck,840,426
2023-01-10,201,Car,388,486
2023-01-10,201,Truck,761,326
2023-01-10,202,Car,809,119
2023-01-10,202,Truck,602,161
2023-01-10,203,Car,615,399
2023-01-10,203,Truck,942,495
2023-01-10,204,Car,929,399
2023-01-10,204,Truck,706,201
2023-01-11,201,Car,922,186
2023-01-11,201,Truck,858,436
